entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2025-12-06T12:00:00+00:00,2025-12-07T12:00:00+00:00,SHORT,89713.4,88757.95,147.75,TP,neutral,6,20122.26
2025-12-07T12:00:00+00:00,2025-12-07T20:00:00+00:00,SHORT,89505.0,90698.1,-211.95,SL,neutral,2,19910.31
2025-12-07T20:00:00+00:00,2025-12-08T04:00:00+00:00,SHORT,90345.4,91549.7,-211.95,SL,neutral,2,19698.36
2025-12-08T04:00:00+00:00,2025-12-08T12:00:00+00:00,LONG,91519.8,90299.84,-211.95,SL,bull,2,19486.41
2025-12-08T12:00:00+00:00,2025-12-08T20:00:00+00:00,SHORT,89912.6,91111.13,-211.95,SL,neutral,2,19274.46
2025-12-08T20:00:00+00:00,2025-12-09T04:00:00+00:00,SHORT,90610.8,89645.79,147.75,TP,neutral,2,19422.21
2025-12-09T04:00:00+00:00,2025-12-09T12:00:00+00:00,SHORT,90449.9,91655.6,-211.95,SL,bear,2,19210.26
2025-12-09T12:00:00+00:00,2025-12-10T12:00:00+00:00,SHORT,92676.9,91689.89,147.75,TP,neutral,6,19358.01
2025-12-10T12:00:00+00:00,2025-12-10T20:00:00+00:00,LONG,92021.8,93001.83,147.75,TP,bull,2,19505.76
2025-12-10T20:00:00+00:00,2025-12-11T04:00:00+00:00,LONG,91977.5,90751.44,-211.95,SL,bull,2,19293.81
2025-12-11T04:00:00+00:00,2025-12-11T12:00:00+00:00,SHORT,90231.4,89270.44,147.75,TP,neutral,2,19441.56
2025-12-11T12:00:00+00:00,2025-12-11T20:00:00+00:00,SHORT,89830.1,91027.54,-211.95,SL,neutral,2,19229.61
2025-12-11T20:00:00+00:00,2025-12-12T04:00:00+00:00,LONG,92477.5,92389.5,-26.27,TIME_EXIT_LOSS,bull,1,19203.34
2025-12-12T04:00:00+00:00,2025-12-12T12:00:00+00:00,LONG,92389.5,91157.95,-211.95,SL,bull,2,18991.39
2025-12-12T12:00:00+00:00,2025-12-12T20:00:00+00:00,SHORT,89895.0,90229.6,-67.83,TIME_EXIT_LOSS,neutral,1,18923.56
2025-12-12T20:00:00+00:00,2025-12-13T04:00:00+00:00,SHORT,90229.6,90286.1,-21.39,TIME_EXIT_LOSS,neutral,1,18902.17
2025-12-13T04:00:00+00:00,2025-12-14T04:00:00+00:00,SHORT,90286.1,90205.1,1.46,MAX_HOLD_EXIT,neutral,6,18903.63
2025-12-14T04:00:00+00:00,2025-12-14T12:00:00+00:00,SHORT,90205.1,88985.2,190.85,TRAIL_TP,neutral,2,19094.48
2025-12-14T12:00:00+00:00,2025-12-14T20:00:00+00:00,SHORT,88985.2,88037.51,147.75,TP,bear,2,19242.23
2025-12-14T20:00:00+00:00,2025-12-15T04:00:00+00:00,SHORT,88118.8,89293.42,-211.95,SL,bear,2,19030.28
2025-12-15T04:00:00+00:00,2025-12-15T12:00:00+00:00,SHORT,89703.0,86996.6,440.56,TRAIL_TP,neutral,2,19470.84
2025-12-15T12:00:00+00:00,2025-12-15T20:00:00+00:00,SHORT,86996.6,86070.09,147.75,TP,bear,2,19618.59
2025-12-15T20:00:00+00:00,2025-12-16T04:00:00+00:00,SHORT,86389.9,85469.85,147.75,TP,bear,2,19766.34
2025-12-16T04:00:00+00:00,2025-12-16T12:00:00+00:00,SHORT,85964.8,87110.71,-211.95,SL,bear,2,19554.39
2025-12-16T12:00:00+00:00,2025-12-17T04:00:00+00:00,SHORT,87936.3,86999.78,147.75,TP,bear,4,19702.14
2025-12-17T04:00:00+00:00,2025-12-17T12:00:00+00:00,SHORT,87010.4,88170.25,-211.95,SL,bear,2,19490.19
2025-12-17T12:00:00+00:00,2025-12-17T20:00:00+00:00,SHORT,87191.4,86201.6,158.28,TRAIL_TP,bear,2,19648.47
2025-12-17T20:00:00+00:00,2025-12-18T04:00:00+00:00,SHORT,86201.6,86787.5,-113.95,TIME_EXIT_LOSS,bear,1,19534.52
2025-12-18T04:00:00+00:00,2025-12-18T12:00:00+00:00,SHORT,86787.5,87944.38,-211.95,SL,bear,2,19322.57
2025-12-18T12:00:00+00:00,2025-12-18T20:00:00+00:00,LONG,88480.8,87301.35,-211.95,SL,bull,2,19110.62
2025-12-18T20:00:00+00:00,2025-12-19T04:00:00+00:00,SHORT,85469.7,86609.01,-211.95,SL,bear,2,18898.67
2025-12-19T04:00:00+00:00,2025-12-19T12:00:00+00:00,SHORT,87909.7,89081.54,-211.95,SL,bear,2,18686.72
2025-12-19T12:00:00+00:00,2025-12-19T20:00:00+00:00,SHORT,87925.6,88100.0,-41.75,TIME_EXIT_LOSS,neutral,1,18644.97
2025-12-19T20:00:00+00:00,2025-12-20T04:00:00+00:00,SHORT,88100.0,88239.9,-35.82,TIME_EXIT_LOSS,neutral,1,18609.15
2025-12-20T04:00:00+00:00,2025-12-21T04:00:00+00:00,SHORT,88239.9,88138.7,5.2,MAX_HOLD_EXIT,neutral,6,18614.35
2025-12-21T04:00:00+00:00,2025-12-21T20:00:00+00:00,SHORT,88138.7,88726.14,-111.98,HALF_RISK_SL,neutral,4,18502.37
2025-12-21T20:00:00+00:00,2025-12-22T04:00:00+00:00,SHORT,88621.3,89127.7,-97.71,TIME_EXIT_LOSS,neutral,1,18404.66
2025-12-22T04:00:00+00:00,2025-12-22T12:00:00+00:00,LONG,89127.7,90076.91,147.75,TP,bull,2,18552.41
