entry_time,exit_time,side,entry_price,exit_price,initial_sl,final_sl,tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,breakeven_locked,holding_candles,notional,leverage,actual_move_pct
2026-01-27T16:00:00+00:00,2026-01-28T08:00:00+00:00,SHORT,88378.1,89556.18,89556.18,89556.18,87750.62,-211.95,9915.83,SL,ACTIVE,29.0,bear,1.0,False,4,15000.0,15.0,-1.333
2026-01-28T08:00:00+00:00,2026-01-28T16:00:00+00:00,SHORT,90036.9,89363.6,91237.09,91237.09,89397.64,100.17,10016.0,TRAIL_TP,ACTIVE,29.0,bear,1.0,False,2,15000.0,15.0,0.7478
2026-01-28T16:00:00+00:00,2026-01-29T00:00:00+00:00,SHORT,89363.6,88003.2,90554.82,90554.82,88729.12,216.35,10232.35,TRAIL_TP,ACTIVE,29.0,bear,1.0,False,2,15000.0,15.0,1.5223
2026-01-29T00:00:00+00:00,2026-01-29T12:00:00+00:00,SHORT,88003.2,84898.0,89176.28,89176.28,87378.38,517.28,10749.63,TRAIL_TP,ACTIVE,26.0,bear,1.0,False,3,15000.0,15.0,3.5285
2026-01-29T12:00:00+00:00,2026-01-29T20:00:00+00:00,SHORT,84898.0,84295.22,86029.69,86029.69,84295.22,94.5,10844.13,TP,ACTIVE,26.0,bear,1.0,False,2,15000.0,15.0,0.71
2026-01-29T20:00:00+00:00,2026-01-30T04:00:00+00:00,SHORT,84604.7,82770.1,85732.48,85732.48,84004.01,313.27,11157.4,TRAIL_TP,ADVISORY,26.0,bear,1.0,False,2,15000.0,15.0,2.1684
2026-01-30T04:00:00+00:00,2026-01-30T16:00:00+00:00,SHORT,82770.1,83873.43,83873.43,83873.43,82182.43,-211.95,10945.45,SL,ADVISORY,16.0,bear,1.0,False,3,15000.0,15.0,-1.333
2026-01-30T16:00:00+00:00,2026-01-31T04:00:00+00:00,SHORT,84200.0,83514.4,85322.39,85322.39,83602.18,110.14,11055.59,TRAIL_TP,ADVISORY,16.0,bear,1.0,False,3,15000.0,15.0,0.8143
2026-01-31T04:00:00+00:00,2026-01-31T12:00:00+00:00,SHORT,83514.4,81268.6,84627.65,84627.65,82921.45,391.37,11446.96,TRAIL_TP,ADVISORY,20.0,bear,1.0,False,2,15000.0,15.0,2.6891
2026-01-31T12:00:00+00:00,2026-01-31T20:00:00+00:00,SHORT,81268.6,78706.8,82351.91,82351.91,80691.59,460.84,11907.8,TRAIL_TP,ADVISORY,20.0,bear,1.0,False,2,15000.0,15.0,3.1523
