model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
GOLDEN,2026-01-07T08:00:00+00:00,2026-01-07T16:00:00+00:00,LONG,92041.9,90814.98,90814.98,92695.4,0.01333,0.0071,15000.0,15.0,-211.95,10695.47,SL,ACTIVE,bull,1.0,2,-1.333,N/A,,
GOLDEN,2026-01-07T12:00:00+00:00,2026-01-08T04:00:00+00:00,LONG,91303.1,90086.03,90086.03,91951.35,0.01333,0.0071,15000.0,15.0,-211.95,10483.52,SL,ACTIVE,bull,1.0,4,-1.333,N/A,,
GOLDEN,2026-01-08T00:00:00+00:00,2026-01-08T12:00:00+00:00,LONG,90780.1,89570.0,89570.0,91424.64,0.01333,0.0071,15000.0,15.0,-211.95,10271.57,SL,ACTIVE,bull,1.0,3,-1.333,N/A,,
GOLDEN,2026-01-08T08:00:00+00:00,2026-01-08T16:00:00+00:00,LONG,90192.3,90890.9,88990.04,90832.67,0.01333,0.0071,15000.0,15.0,104.19,10375.76,TRAIL_TP,ACTIVE,bull,1.0,2,0.7746,N/A,,
GOLDEN,2026-01-08T12:00:00+00:00,2026-01-08T20:00:00+00:00,LONG,90730.0,91374.18,89520.57,91374.18,0.01333,0.0071,15000.0,15.0,94.5,10470.26,TP,ADVISORY,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-08T16:00:00+00:00,2026-01-09T00:00:00+00:00,LONG,90890.9,91536.23,89679.32,91536.23,0.01333,0.0071,15000.0,15.0,94.5,10564.76,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-08T20:00:00+00:00,2026-01-09T08:00:00+00:00,LONG,91059.8,89845.97,89845.97,91706.32,0.01333,0.0071,15000.0,15.0,-211.95,10352.81,SL,ACTIVE,bull,1.0,3,-1.333,N/A,,
GOLDEN,2026-01-09T04:00:00+00:00,2026-01-09T12:00:00+00:00,LONG,90712.1,91356.16,89502.91,91356.16,0.01333,0.0071,15000.0,15.0,94.5,10447.31,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-09T08:00:00+00:00,2026-01-09T16:00:00+00:00,LONG,90398.1,91039.93,89193.09,91039.93,0.01333,0.0071,15000.0,15.0,94.5,10541.81,TP,ACTIVE,bull,1.0,2,0.71,N/A,,
GOLDEN,2026-01-09T12:00:00+00:00,2026-01-10T12:00:00+00:00,LONG,91137.7,90622.7,89922.83,91784.78,0.01333,0.0071,15000.0,15.0,-96.76,10445.05,TIME_EXIT,ACTIVE,bull,1.0,6,-0.5651,N/A,,
GOLDEN,2026-01-10T08:00:00+00:00,2026-01-11T08:00:00+00:00,LONG,90692.8,90707.3,89483.86,91336.72,0.01333,0.0071,15000.0,15.0,-9.6,10435.45,TIME_EXIT,ACTIVE,bull,1.0,6,0.016,N/A,,
GOLDEN,2026-01-11T04:00:00+00:00,2026-01-12T00:00:00+00:00,LONG,90664.0,91766.2,89455.45,91307.71,0.01333,0.0071,15000.0,15.0,170.35,10605.8,TRAIL_TP,ACTIVE,bull,1.0,5,1.2157,N/A,,
