model,entry_time,exit_time,side,entry_price,exit_price,sl,tp,sl_pct,tp_pct,notional,leverage,pnl_usd,equity,exit_type,gate,regime,bcd_conf,holding_candles,actual_move_pct,vol_regime,heston_sl_mult,heston_tp_mult
HESTON,2020-12-16T08:00:00+00:00,2020-12-16T16:00:00+00:00,LONG,19748.84,20737.75,19317.69,20323.7,0.021831,0.029109,143843.45,1,7087.79,164103.51,TRAIL_TP,ACTIVE,bull,1.0,2,5.0074,Normal,1.5,2.0
HESTON,2020-12-16T12:00:00+00:00,2020-12-16T20:00:00+00:00,LONG,20666.5,21369.67,20139.12,21369.67,0.025518,0.034025,128615.44,1,4273.2,168376.71,TP,ADVISORY,bull,1.0,2,3.4025,Normal,1.5,2.0
HESTON,2020-12-16T16:00:00+00:00,2020-12-17T00:00:00+00:00,LONG,20737.75,21768.35,20211.51,21439.41,0.025376,0.033835,265409.77,2,12977.69,181354.4,TRAIL_TP,ADVISORY,bull,1.0,2,4.9697,Normal,1.5,2.0
HESTON,2020-12-16T20:00:00+00:00,2020-12-17T04:00:00+00:00,LONG,21346.8,22495.01,20764.82,22122.77,0.027263,0.03635,133041.31,1,7049.64,188404.04,TRAIL_TP,ADVISORY,bull,1.0,2,5.3788,Normal,1.5,2.0
HESTON,2020-12-17T00:00:00+00:00,2020-12-17T08:00:00+00:00,LONG,21768.35,22778.28,21121.82,22630.39,0.0297,0.039601,126869.37,1,5784.54,194188.58,TRAIL_TP,ADVISORY,bull,1.0,2,4.6394,Normal,1.5,2.0
HESTON,2021-04-01T12:00:00+00:00,2021-04-02T12:00:00+00:00,LONG,59040.89,59547.65,57272.49,61398.76,0.029952,0.039936,129666.06,1,1009.22,195197.8,TIME_EXIT,ADVISORY,bull,1.0,6,0.8583,Normal,1.5,2.0
HESTON,2021-04-02T08:00:00+00:00,2021-04-03T08:00:00+00:00,LONG,59654.52,59353.45,57987.51,61877.2,0.027944,0.037259,139704.49,1,-816.84,194380.96,TIME_EXIT,ADVISORY,bull,1.0,6,-0.5047,Normal,1.5,2.0
HESTON,2021-04-03T04:00:00+00:00,2021-04-03T16:00:00+00:00,LONG,59372.99,57903.69,57903.69,61332.06,0.024747,0.032996,314189.35,2,-8026.59,186354.37,SL,ADVISORY,bull,1.0,3,-2.4747,Normal,1.5,2.0
HESTON,2021-04-05T12:00:00+00:00,2021-04-06T12:00:00+00:00,LONG,59098.01,57586.48,57586.48,61113.39,0.025577,0.034102,291443.66,2,-7687.33,178667.04,SL,ADVISORY,bull,1.0,6,-2.5577,Normal,1.5,2.0
HESTON,2021-04-06T08:00:00+00:00,2021-04-07T08:00:00+00:00,LONG,58624.08,57240.36,57240.36,60469.04,0.023603,0.031471,151391.37,1,-3694.45,174972.59,SL,ADVISORY,bull,1.0,6,-2.3603,Normal,1.5,2.0
HESTON,2021-04-07T16:00:00+00:00,2021-04-08T12:00:00+00:00,SHORT,56216.31,57857.77,57857.77,54027.69,0.029199,0.038932,119847.99,1,-3595.33,171377.26,SL,ADVISORY,bear,1.0,5,-2.9199,Normal,1.5,2.0
HESTON,2021-04-08T08:00:00+00:00,2021-04-08T16:00:00+00:00,SHORT,56490.15,58054.12,58054.12,54404.86,0.027686,0.036914,123802.03,1,-3526.59,167850.67,SL,ADVISORY,bear,1.0,2,-2.7686,Normal,1.5,2.0
HESTON,2021-04-10T04:00:00+00:00,2021-04-10T20:00:00+00:00,LONG,60614.65,59006.16,59006.16,62759.3,0.026536,0.035382,126506.5,1,-3458.22,164392.45,SL,ADVISORY,bull,1.0,4,-2.6536,Normal,1.5,2.0
HESTON,2021-04-13T08:00:00+00:00,2021-04-14T08:00:00+00:00,LONG,63068.31,64623.03,61426.25,65257.73,0.026036,0.034715,126279.54,1,3011.94,167404.39,TIME_EXIT,ADVISORY,bull,1.0,6,2.4651,Normal,1.5,2.0
HESTON,2021-04-14T04:00:00+00:00,2021-04-14T12:00:00+00:00,LONG,64382.35,62748.68,62748.68,66560.58,0.025375,0.033833,131946.59,1,-3453.65,163950.74,SL,ADVISORY,bull,1.0,2,-2.5375,Normal,1.5,2.0
HESTON,2021-04-14T08:00:00+00:00,2021-04-14T16:00:00+00:00,LONG,64623.03,62912.99,62912.99,66903.08,0.026462,0.035282,123915.1,1,-3378.15,160572.59,SL,ADVISORY,bull,1.0,2,-2.6462,Normal,1.5,2.0
HESTON,2021-04-14T12:00:00+00:00,2021-04-15T12:00:00+00:00,LONG,63132.48,62787.12,61291.66,65586.9,0.029158,0.038877,110139.61,1,-690.62,159881.97,TIME_EXIT,ADVISORY,bull,1.0,6,-0.547,Normal,1.5,2.0
HESTON,2021-04-15T08:00:00+00:00,2021-04-16T08:00:00+00:00,LONG,62461.25,60602.09,60602.09,64940.12,0.029765,0.039687,107429.69,1,-3283.58,156598.39,SL,ADVISORY,bull,1.0,6,-2.9765,Normal,1.5,2.0
HESTON,2021-04-17T00:00:00+00:00,2021-04-17T12:00:00+00:00,LONG,62456.46,60656.92,60656.92,64855.84,0.028813,0.038417,108700.99,1,-3218.93,153379.46,SL,ADVISORY,bull,1.0,3,-2.8813,Normal,1.5,2.0
HESTON,2021-04-17T08:00:00+00:00,2021-04-18T00:00:00+00:00,SHORT,60973.99,54849.46,62775.83,58571.54,0.029551,0.039401,103806.92,1,10343.84,163723.3,TRAIL_TP,ADVISORY,bear,1.0,4,10.0445,Normal,1.5,2.0
HESTON,2021-05-02T16:00:00+00:00,2021-05-03T16:00:00+00:00,LONG,56908.0,57649.99,55233.35,59140.87,0.029427,0.039237,111272.74,1,1361.8,165085.1,TIME_EXIT,ADVISORY,bull,1.0,6,1.3038,Normal,1.5,2.0
HESTON,2021-05-03T16:00:00+00:00,2021-05-04T00:00:00+00:00,LONG,57649.99,55934.94,55934.94,59936.72,0.029749,0.039666,110984.12,1,-3390.49,161694.61,SL,ADVISORY,bull,1.0,2,-2.9749,Normal,1.5,2.0
HESTON,2021-05-03T20:00:00+00:00,2021-05-04T04:00:00+00:00,LONG,57214.83,55499.14,55499.14,59502.42,0.029987,0.039982,107843.89,1,-3320.17,158374.44,SL,ADVISORY,bull,1.0,2,-2.9987,Normal,1.5,2.0
HESTON,2021-07-04T16:00:00+00:00,2021-07-05T00:00:00+00:00,LONG,35553.72,34489.68,34489.68,36972.44,0.029928,0.039904,105838.05,1,-3252.16,155122.28,SL,ADVISORY,bull,1.0,2,-2.9928,Normal,1.5,2.0
HESTON,2021-07-10T08:00:00+00:00,2021-07-11T08:00:00+00:00,SHORT,33781.67,33792.04,34786.77,32441.53,0.029753,0.039671,104273.61,1,-115.43,155006.85,TIME_EXIT,ADVISORY,bear,1.0,6,-0.0307,Normal,1.5,2.0
HESTON,2021-07-12T16:00:00+00:00,2021-07-13T16:00:00+00:00,SHORT,32828.59,32306.71,33735.44,31619.46,0.027624,0.036832,112226.93,1,1694.3,156701.15,TIME_EXIT,ADVISORY,bear,1.0,6,1.5897,Normal,1.5,2.0
HESTON,2021-07-13T12:00:00+00:00,2021-07-14T08:00:00+00:00,SHORT,32781.41,31591.33,33673.97,31591.33,0.027228,0.036304,115104.42,1,4086.61,160787.76,TP,ADVISORY,bear,1.0,5,3.6304,Normal,1.5,2.0
HESTON,2021-07-14T04:00:00+00:00,2021-07-14T12:00:00+00:00,SHORT,31910.38,32843.24,32843.24,30666.57,0.029234,0.038978,110001.85,1,-3303.76,157484.0,SL,ADVISORY,bear,1.0,2,-2.9234,Normal,1.5,2.0
HESTON,2021-07-15T04:00:00+00:00,2021-07-15T16:00:00+00:00,SHORT,32461.0,31242.2,33375.1,31242.2,0.02816,0.037547,111849.87,1,4110.09,161594.09,TP,ADVISORY,bear,1.0,3,3.7547,Normal,1.5,2.0
HESTON,2021-07-15T20:00:00+00:00,2021-07-16T20:00:00+00:00,SHORT,31866.43,31382.95,32790.48,30634.37,0.028997,0.038663,111453.84,1,1601.82,163195.91,TIME_EXIT,ADVISORY,bear,1.0,6,1.5172,Normal,1.5,2.0
HESTON,2021-07-17T04:00:00+00:00,2021-07-18T00:00:00+00:00,SHORT,31497.05,32407.57,32407.57,30283.02,0.028908,0.038544,112906.63,1,-3354.24,159841.67,SL,ADVISORY,bear,1.0,5,-2.8908,Normal,1.5,2.0
HESTON,2021-07-18T12:00:00+00:00,2021-07-19T12:00:00+00:00,SHORT,31349.07,30672.99,32232.63,30170.99,0.028184,0.037579,113425.43,1,2355.41,162197.08,TIME_EXIT,ADVISORY,bear,1.0,6,2.1566,Normal,1.5,2.0
HESTON,2021-07-19T08:00:00+00:00,2021-07-20T00:00:00+00:00,SHORT,31262.16,29582.94,32083.84,30166.58,0.026284,0.035045,246840.83,2,13061.37,175258.45,TRAIL_TP,ADVISORY,bear,1.0,4,5.3714,Normal,1.5,2.0
HESTON,2021-07-19T20:00:00+00:00,2021-07-20T04:00:00+00:00,SHORT,30823.62,29740.87,31635.68,29740.87,0.026345,0.035127,266092.9,2,9134.24,184392.69,TP,ADVISORY,bear,1.0,2,3.5127,Normal,1.5,2.0
HESTON,2021-07-20T20:00:00+00:00,2021-07-21T04:00:00+00:00,SHORT,29775.9,30659.17,30659.17,28598.21,0.029664,0.039552,124321.19,1,-3787.31,180605.38,SL,ADVISORY,bear,1.0,2,-2.9664,Normal,1.5,2.0
HESTON,2021-07-21T00:00:00+00:00,2021-07-21T08:00:00+00:00,SHORT,29818.53,30682.59,30682.59,28666.44,0.028977,0.038637,124652.52,1,-3711.83,176893.55,SL,ADVISORY,bear,1.0,2,-2.8977,Normal,1.5,2.0
HESTON,2021-07-21T12:00:00+00:00,2021-07-22T12:00:00+00:00,SHORT,31904.38,32482.65,32851.96,30640.95,0.029701,0.039601,119118.22,1,-2254.32,174639.23,TIME_EXIT,ADVISORY,bear,1.0,6,-1.8125,Normal,1.5,2.0
HESTON,2021-07-23T20:00:00+00:00,2021-07-24T20:00:00+00:00,LONG,33634.46,34230.0,32681.63,34904.89,0.028329,0.037772,123294.3,1,2084.44,176723.67,TIME_EXIT,ADVISORY,bull,1.0,6,1.7706,Normal,1.5,2.0
HESTON,2021-07-24T16:00:00+00:00,2021-07-25T16:00:00+00:00,LONG,33828.05,34312.9,32935.39,35018.26,0.026388,0.035184,133942.24,1,1812.61,178536.28,TIME_EXIT,ADVISORY,bull,1.0,6,1.4333,Normal,1.5,2.0
HESTON,2021-07-25T12:00:00+00:00,2021-07-25T20:00:00+00:00,LONG,34152.77,35370.66,33260.32,35342.7,0.026131,0.034841,273293.68,2,9527.04,188063.32,TRAIL_TP,ADVISORY,bull,1.0,2,3.566,Normal,1.5,2.0
HESTON,2021-07-25T16:00:00+00:00,2021-07-26T00:00:00+00:00,LONG,34312.9,38276.54,33428.35,35492.3,0.025779,0.034372,291809.03,2,33474.75,221538.07,TRAIL_TP,ADVISORY,bull,1.0,2,11.5515,Normal,1.5,2.0
HESTON,2021-07-25T20:00:00+00:00,2021-07-26T04:00:00+00:00,LONG,35370.66,38157.02,34427.15,36628.68,0.026675,0.035567,166101.8,1,12951.96,234490.03,TRAIL_TP,ADVISORY,bull,1.0,2,7.8776,Normal,1.5,2.0
HESTON,2021-08-13T16:00:00+00:00,2021-08-14T16:00:00+00:00,LONG,46466.14,47044.67,45081.9,48311.8,0.02979,0.03972,157426.85,1,1834.11,236324.14,TIME_EXIT,ADVISORY,bull,1.0,6,1.2451,Normal,1.5,2.0
HESTON,2021-08-15T00:00:00+00:00,2021-08-15T12:00:00+00:00,LONG,46900.01,45497.33,45497.33,48770.26,0.029908,0.039877,158034.19,1,-4852.91,231471.23,SL,ADVISORY,bull,1.0,3,-2.9908,Normal,1.5,2.0
HESTON,2021-08-15T20:00:00+00:00,2021-08-16T20:00:00+00:00,LONG,47006.02,45926.23,45598.15,48883.18,0.029951,0.039934,154567.78,1,-3674.28,227796.95,TIME_EXIT,ADVISORY,bull,1.0,6,-2.2971,Normal,1.5,2.0
HESTON,2021-08-21T00:00:00+00:00,2021-08-22T00:00:00+00:00,LONG,48872.26,48809.18,47407.78,50824.89,0.029965,0.039954,152040.08,1,-317.87,227479.08,TIME_EXIT,ADVISORY,bull,1.0,6,-0.1291,Normal,1.5,2.0
HESTON,2021-08-21T20:00:00+00:00,2021-08-22T20:00:00+00:00,LONG,48848.29,49273.28,47436.72,50730.38,0.028897,0.038529,157441.22,1,1243.82,228722.9,TIME_EXIT,ADVISORY,bull,1.0,6,0.87,Normal,1.5,2.0
HESTON,2021-08-22T16:00:00+00:00,2021-08-23T00:00:00+00:00,LONG,48680.23,50416.76,47377.83,50416.76,0.026754,0.035672,170981.37,1,5962.49,234685.39,TP,ADVISORY,bull,1.0,2,3.5672,Normal,1.5,2.0
HESTON,2021-08-22T20:00:00+00:00,2021-08-23T20:00:00+00:00,LONG,49273.28,49523.91,47925.13,51070.82,0.027361,0.036481,171548.9,1,735.35,235420.74,TIME_EXIT,ADVISORY,bull,1.0,6,0.5087,Normal,1.5,2.0
