config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
c_exec_aligned_partial_veto,2026-01-10 20:00:00+00:00,2026-01-11 00:00:00+00:00,1.0,1.0,90469.6,90696.5,0.0025080247950692858,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-11 00:00:00+00:00,2026-01-11 04:00:00+00:00,1.0,1.0,90696.5,90664.0,-0.0003583379733507197,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-11 04:00:00+00:00,2026-01-11 08:00:00+00:00,1.0,1.0,90664.0,90707.3,0.0004775875761051651,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-11 08:00:00+00:00,2026-01-11 12:00:00+00:00,1.0,1.0,90707.3,90834.1,0.0013979029251229846,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-11 20:00:00+00:00,2026-01-12 00:00:00+00:00,1.0,1.0,90964.4,91766.2,0.00881443729634901,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-12 00:00:00+00:00,2026-01-12 04:00:00+00:00,1.0,1.0,91766.2,91986.43888,0.0023999999999999577,TRAIL,238.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-13 00:00:00+00:00,2026-01-13 04:00:00+00:00,1.0,1.0,91380.9,91908.0,0.005768163806659787,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-14 16:00:00+00:00,2026-01-14 20:00:00+00:00,-1.0,1.0,97221.8,96988.46768,0.0024000000000000687,TRAIL,10.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-16 04:00:00+00:00,2026-01-16 08:00:00+00:00,-1.0,1.0,95608.4,95378.93983999999,0.0024000000000000687,TRAIL,103.0,bear,low,low
c_exec_aligned_partial_veto,2026-01-16 08:00:00+00:00,2026-01-16 12:00:00+00:00,-1.0,1.0,95382.6,94537.5,0.008860106560316106,TIME_EXIT,240.0,bear,low,low
c_exec_aligned_partial_veto,2026-01-16 12:00:00+00:00,2026-01-16 16:00:00+00:00,-1.0,1.0,94537.5,94961.0,-0.0044797038212349705,TIME_EXIT,240.0,bear,low,low
c_exec_aligned_partial_veto,2026-01-16 16:00:00+00:00,2026-01-16 20:00:00+00:00,-1.0,1.0,94961.0,94733.0936,0.0024000000000000687,TRAIL,119.0,bear,low,low
c_exec_aligned_partial_veto,2026-01-17 12:00:00+00:00,2026-01-17 16:00:00+00:00,-1.0,1.0,95529.0,95258.3,0.0028336944802102026,TIME_EXIT,240.0,bear,low,low
c_exec_aligned_partial_veto,2026-01-17 16:00:00+00:00,2026-01-17 20:00:00+00:00,-1.0,1.0,95258.3,95107.9,0.0015788650437810192,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-17 20:00:00+00:00,2026-01-18 00:00:00+00:00,-1.0,1.0,95107.9,95155.0,-0.0004952270000704306,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-18 00:00:00+00:00,2026-01-18 04:00:00+00:00,-1.0,1.0,95155.0,94989.9,0.0017350638432032106,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-18 12:00:00+00:00,2026-01-18 16:00:00+00:00,-1.0,1.0,95067.8,95335.6,-0.0028169369649870823,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-18 16:00:00+00:00,2026-01-18 20:00:00+00:00,-1.0,1.0,95335.6,93614.0,0.018058311900276514,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-19 04:00:00+00:00,2026-01-19 08:00:00+00:00,-1.0,1.0,92787.9,92565.20903999999,0.0024000000000000687,TRAIL,237.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-19 08:00:00+00:00,2026-01-19 12:00:00+00:00,-1.0,1.0,93136.7,92913.17192,0.0024000000000000687,TRAIL,23.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-19 12:00:00+00:00,2026-01-19 16:00:00+00:00,-1.0,1.0,93013.5,93066.2,-0.0005665844205411386,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-19 16:00:00+00:00,2026-01-19 20:00:00+00:00,-1.0,1.0,93066.2,92589.6,0.005121085850716911,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-19 20:00:00+00:00,2026-01-20 00:00:00+00:00,-1.0,1.0,92589.6,92367.38496000001,0.0023999999999999577,TRAIL,211.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-20 00:00:00+00:00,2026-01-20 04:00:00+00:00,-1.0,1.0,92397.0,91136.1,0.013646546965810469,TIME_EXIT,240.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-20 04:00:00+00:00,2026-01-20 08:00:00+00:00,-1.0,1.0,91136.1,92350.94421300001,-0.013330000000000064,SL,1.0,bull,low,low
c_exec_aligned_partial_veto,2026-01-20 08:00:00+00:00,2026-01-20 12:00:00+00:00,-1.0,1.0,91185.8,90966.95408,0.0024000000000000687,TRAIL,25.0,bull,low,low
