config,entry_time,exit_time,side,size,entry_price,exit_price,pnl_pct,exit_type,holding_minutes,l1_regime,l4_volatility_bucket,exhaustion_bucket
baseline,2026-01-16 12:00:00+00:00,2026-01-16 16:00:00+00:00,-1.0,1.0,94537.5,94961.0,-0.0044797038212349705,TIME_EXIT,240.0,bear,low,low
baseline,2026-01-16 16:00:00+00:00,2026-01-16 20:00:00+00:00,-1.0,1.0,94961.0,95503.7,-0.0057149777276988,TIME_EXIT,240.0,bear,low,low
baseline,2026-01-16 20:00:00+00:00,2026-01-17 00:00:00+00:00,-1.0,1.0,95503.7,94825.62372999999,0.007100000000000106,TP,4.0,bear,low,low
baseline,2026-01-17 12:00:00+00:00,2026-01-17 16:00:00+00:00,-1.0,1.0,95529.0,95258.3,0.0028336944802102026,TIME_EXIT,240.0,bear,low,low
baseline,2026-01-17 16:00:00+00:00,2026-01-17 20:00:00+00:00,-1.0,1.0,95258.3,95107.9,0.0015788650437810192,TIME_EXIT,240.0,bull,low,low
baseline,2026-01-17 20:00:00+00:00,2026-01-18 00:00:00+00:00,-1.0,1.0,95107.9,95155.0,-0.0004952270000704306,TIME_EXIT,240.0,bull,low,low
baseline,2026-01-18 00:00:00+00:00,2026-01-18 04:00:00+00:00,-1.0,1.0,95155.0,94989.9,0.0017350638432032106,TIME_EXIT,240.0,bull,low,low
baseline,2026-01-18 12:00:00+00:00,2026-01-18 16:00:00+00:00,-1.0,1.0,95067.8,95335.6,-0.0028169369649870823,TIME_EXIT,240.0,bull,low,low
baseline,2026-01-18 16:00:00+00:00,2026-01-18 20:00:00+00:00,-1.0,1.0,95335.6,93614.0,0.018058311900276514,TIME_EXIT,240.0,bull,low,low
baseline,2026-01-25 16:00:00+00:00,2026-01-25 20:00:00+00:00,1.0,1.0,86459.4,87073.26174,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-01-29 12:00:00+00:00,2026-01-29 16:00:00+00:00,-1.0,1.0,84898.0,86029.69034,-0.013330000000000064,SL,1.0,bull,low,low
baseline,2026-01-29 16:00:00+00:00,2026-01-29 20:00:00+00:00,1.0,1.0,83979.4,84575.65374000001,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-01-30 00:00:00+00:00,2026-01-30 04:00:00+00:00,1.0,1.0,82640.9,83227.65039000001,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-01-30 12:00:00+00:00,2026-01-30 16:00:00+00:00,1.0,1.0,82850.2,83438.43642000001,0.007100000000000106,TP,159.0,bear,low,low
baseline,2026-01-31 08:00:00+00:00,2026-01-31 12:00:00+00:00,-1.0,1.0,82983.2,81268.6,0.02066201351598862,TIME_EXIT,240.0,bear,low,low
baseline,2026-01-31 12:00:00+00:00,2026-01-31 16:00:00+00:00,1.0,1.0,81268.6,81845.60706000001,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-01-31 16:00:00+00:00,2026-01-31 20:00:00+00:00,1.0,0.5,77707.9,78259.62609,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-01-31 20:00:00+00:00,2026-02-01 00:00:00+00:00,-1.0,1.0,78706.8,78147.98172,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-02-01 00:00:00+00:00,2026-02-01 04:00:00+00:00,1.0,0.5,78826.3,79385.96673000001,0.003550000000000053,TP,16.0,bear,low,mid
baseline,2026-02-01 04:00:00+00:00,2026-02-01 08:00:00+00:00,1.0,0.5,78320.8,78876.87768,0.003550000000000053,TP,12.0,bear,low,mid
baseline,2026-02-01 08:00:00+00:00,2026-02-01 12:00:00+00:00,1.0,1.0,78712.1,77563.8,-0.01458860835881648,TIME_EXIT,240.0,bear,low,low
baseline,2026-02-01 12:00:00+00:00,2026-02-01 16:00:00+00:00,1.0,1.0,77563.8,78114.50298,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-02-01 16:00:00+00:00,2026-02-01 20:00:00+00:00,1.0,1.0,77142.4,77690.11104,0.007100000000000106,TP,26.0,bear,low,low
baseline,2026-02-01 20:00:00+00:00,2026-02-02 00:00:00+00:00,1.0,1.0,76931.5,77477.71365,0.007100000000000106,TP,38.0,bear,low,low
baseline,2026-02-02 00:00:00+00:00,2026-02-02 04:00:00+00:00,1.0,0.5,76256.2,76797.61902,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-02 04:00:00+00:00,2026-02-02 08:00:00+00:00,1.0,1.0,76612.6,75591.354042,-0.013329999999999953,SL,7.0,bear,low,low
baseline,2026-02-02 08:00:00+00:00,2026-02-02 12:00:00+00:00,-1.0,0.5,77716.1,77164.31569,0.0035499999999999976,TP,1.0,bear,low,mid
baseline,2026-02-02 12:00:00+00:00,2026-02-02 16:00:00+00:00,1.0,0.5,78800.6,77750.18800200001,-0.0066649999999999765,SL,1.0,bear,low,mid
baseline,2026-02-02 16:00:00+00:00,2026-02-02 20:00:00+00:00,1.0,1.0,78299.2,78855.12432,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-03 00:00:00+00:00,2026-02-03 04:00:00+00:00,-1.0,1.0,78710.7,78151.85403,0.007099999999999884,TP,168.0,bull,low,low
baseline,2026-02-03 04:00:00+00:00,2026-02-03 08:00:00+00:00,1.0,1.0,78749.9,78040.1,-0.009013344778850407,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-03 08:00:00+00:00,2026-02-03 12:00:00+00:00,-1.0,1.0,78040.1,78094.1,-0.0006919519580317335,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-03 12:00:00+00:00,2026-02-03 16:00:00+00:00,-1.0,1.0,78094.1,77539.63189,0.007099999999999995,TP,174.0,bull,low,low
baseline,2026-02-03 16:00:00+00:00,2026-02-03 20:00:00+00:00,1.0,1.0,74893.8,75425.54598000001,0.007100000000000106,TP,1.0,bull,low,low
baseline,2026-02-03 20:00:00+00:00,2026-02-04 00:00:00+00:00,-1.0,1.0,75732.4,75194.69996,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-04 00:00:00+00:00,2026-02-04 04:00:00+00:00,-1.0,1.0,76661.1,76116.80619,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-04 04:00:00+00:00,2026-02-04 08:00:00+00:00,1.0,1.0,76478.9,75987.6,-0.006423994068952221,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-04 08:00:00+00:00,2026-02-04 12:00:00+00:00,-1.0,1.0,75987.6,74107.0,0.02474877480009907,TIME_EXIT,240.0,bull,low,low
baseline,2026-02-04 12:00:00+00:00,2026-02-04 16:00:00+00:00,-1.0,1.0,74107.0,75094.84631000001,-0.013330000000000064,SL,1.0,bull,low,low
baseline,2026-02-04 16:00:00+00:00,2026-02-04 20:00:00+00:00,-1.0,1.0,73895.3,73370.64337,0.007099999999999995,TP,22.0,bear,low,low
baseline,2026-02-04 20:00:00+00:00,2026-02-05 00:00:00+00:00,1.0,1.0,73137.4,73656.67554,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-02-05 00:00:00+00:00,2026-02-05 04:00:00+00:00,1.0,0.5,71198.9,71704.41219,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-05 04:00:00+00:00,2026-02-05 08:00:00+00:00,1.0,0.5,70716.1,71218.18431000001,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-05 08:00:00+00:00,2026-02-05 12:00:00+00:00,1.0,1.0,70279.0,70777.98090000001,0.007100000000000106,TP,1.0,bear,low,low
baseline,2026-02-05 12:00:00+00:00,2026-02-05 16:00:00+00:00,1.0,0.5,67451.9,67930.80849,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-05 16:00:00+00:00,2026-02-05 20:00:00+00:00,1.0,0.5,65237.4,65700.58554000001,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-05 20:00:00+00:00,2026-02-06 00:00:00+00:00,1.0,0.5,62868.1,63314.46351000001,0.003550000000000053,TP,1.0,bear,low,mid
baseline,2026-02-06 00:00:00+00:00,2026-02-06 04:00:00+00:00,1.0,0.5,64138.1,63283.139127,-0.0066649999999999765,SL,1.0,bear,low,mid
baseline,2026-02-06 04:00:00+00:00,2026-02-06 08:00:00+00:00,1.0,0.5,64811.2,63947.266704,-0.0066649999999999765,SL,1.0,bear,low,mid
baseline,2026-02-06 08:00:00+00:00,2026-02-06 12:00:00+00:00,1.0,0.5,66586.1,65698.50728700001,-0.006664999999999921,SL,1.0,bear,low,high
baseline,2026-02-06 16:00:00+00:00,2026-02-06 20:00:00+00:00,-1.0,0.5,70675.5,70173.70395,0.003550000000000053,TP,1.0,bull,low,mid
baseline,2026-02-06 20:00:00+00:00,2026-02-07 00:00:00+00:00,-1.0,1.0,70544.5,70043.63405,0.007100000000000106,TP,56.0,bull,low,low
baseline,2026-02-07 00:00:00+00:00,2026-02-07 04:00:00+00:00,-1.0,1.0,70887.1,70383.80159,0.007099999999999995,TP,1.0,bull,low,low
baseline,2026-02-07 04:00:00+00:00,2026-02-07 08:00:00+00:00,1.0,0.5,68050.5,68533.65855000001,0.003550000000000053,TP,1.0,bull,low,mid
