entry_time,exit_time,side,entry_price,exit_price,initial_sl,sl,tp,risk_usd,pnl_usd,equity,exit_type,gate,fgi,regime,trail_count,final_sl,tp_extension_factor,holding_duration
2025-01-19T16:00:00+00:00,2025-01-20T00:00:00+00:00,LONG,106247.9,103908.75,103908.75,103908.75,110668.9,304.98,-305.23,14943.99,SL,ACTIVE,77.0,bull,0,103908.75,1.5,1
2025-01-19T20:00:00+00:00,2025-01-20T04:00:00+00:00,SHORT,101311.5,104508.1,104508.1,104508.1,97388.4,298.88,-299.12,14644.87,SL,ADVISORY,77.0,bear,0,104508.1,1.25,1
2025-01-25T00:00:00+00:00,2025-01-27T00:00:00+00:00,LONG,105153.9,102126.52,102126.52,102126.52,110875.65,292.9,-293.13,14351.74,SL,ADVISORY,75.0,bull,0,102126.52,1.5,11
2025-01-26T20:00:00+00:00,2025-01-27T04:00:00+00:00,SHORT,102560.1,99905.16,104667.19,104667.19,99905.16,287.03,361.43,14713.18,TP,ACTIVE,73.0,neutral,0,104667.19,1.0,1
2025-01-27T00:00:00+00:00,2025-01-27T08:00:00+00:00,SHORT,101349.2,98535.06,103582.64,101349.2,98535.06,294.26,370.54,15083.71,TP,ACTIVE,71.0,neutral,1,101349.2,1.0,1
2025-01-27T04:00:00+00:00,2025-01-27T12:00:00+00:00,SHORT,98996.3,101463.35,101463.35,101463.35,94333.58,301.67,-301.92,14781.8,SL,ADVISORY,71.0,bear,0,101463.35,1.5,1
2025-01-27T08:00:00+00:00,2025-01-27T16:00:00+00:00,SHORT,98700.0,101129.58,101129.58,101129.58,94108.09,295.64,-295.87,14485.93,SL,ADVISORY,71.0,bear,0,101129.58,1.5,1
2025-01-27T12:00:00+00:00,2025-01-28T12:00:00+00:00,SHORT,101070.8,103712.75,103712.75,103712.75,97741.95,289.72,-289.95,14195.98,SL,ADVISORY,71.0,neutral,0,103712.75,1.0,5
2025-01-28T16:00:00+00:00,2025-01-30T00:00:00+00:00,SHORT,102368.7,104933.03,104933.03,104933.03,97522.12,283.92,-284.15,13911.83,SL,ADVISORY,72.0,bear,0,104933.03,1.5,7
2025-01-31T16:00:00+00:00,2025-02-02T16:00:00+00:00,SHORT,102275.8,97765.0,104662.47,101480.24,97765.0,278.24,525.64,14437.47,TP,ADVISORY,76.0,bear,2,101480.24,1.5,11
2025-02-02T12:00:00+00:00,2025-02-03T00:00:00+00:00,SHORT,99298.6,95395.33,101363.82,99298.6,95395.33,288.75,545.51,14982.98,TP,ACTIVE,60.0,bear,1,99298.6,1.5,2
2025-02-02T20:00:00+00:00,2025-02-03T04:00:00+00:00,SHORT,97664.5,93296.41,99975.66,96894.11,93296.41,299.66,566.12,15549.1,TP,ADVISORY,60.0,bear,1,96894.11,1.5,1
2025-02-06T00:00:00+00:00,2025-02-10T00:00:00+00:00,SHORT,97305.6,96770.0,100124.22,100124.22,91978.4,310.98,58.84,15607.94,TIME_EXIT,ADVISORY,49.0,bear,0,100124.22,1.5,24
2025-02-10T04:00:00+00:00,2025-02-12T16:00:00+00:00,SHORT,97386.3,97386.3,99314.97,97386.3,93741.12,312.16,-0.25,15607.69,TRAIL_SL,ACTIVE,43.0,bear,1,97386.3,1.5,14
2025-02-12T12:00:00+00:00,2025-02-12T20:00:00+00:00,SHORT,95762.1,97641.68,97641.68,97641.68,92209.7,312.15,-312.4,15295.29,SL,ACTIVE,46.0,bear,0,97641.68,1.5,1
2025-02-12T16:00:00+00:00,2025-02-14T00:00:00+00:00,SHORT,97156.6,97156.6,99183.28,97156.6,93326.18,305.91,-0.24,15295.04,TRAIL_SL,ACTIVE,46.0,bear,1,97156.6,1.5,7
2025-02-13T20:00:00+00:00,2025-02-14T16:00:00+00:00,SHORT,96560.6,98473.45,98473.45,98473.45,94150.4,305.9,-306.15,14988.9,SL,ACTIVE,50.0,neutral,0,98473.45,1.0,4
2025-02-14T12:00:00+00:00,2025-02-18T12:00:00+00:00,SHORT,96886.5,95501.6,98630.71,96886.5,94688.8,299.78,237.78,15226.68,TIME_EXIT,ACTIVE,48.0,neutral,1,96886.5,1.0,24
2025-02-18T16:00:00+00:00,2025-02-19T00:00:00+00:00,SHORT,94062.1,95582.14,95582.14,95582.14,91189.23,304.53,-304.78,14921.9,SL,ACTIVE,47.0,bear,0,95582.14,1.5,1
2025-02-19T04:00:00+00:00,2025-02-20T00:00:00+00:00,SHORT,95640.4,97214.02,97214.02,97214.02,93657.64,298.44,-298.68,14623.23,SL,ACTIVE,44.0,neutral,0,97214.02,1.0,4
2025-02-19T20:00:00+00:00,2025-02-20T16:00:00+00:00,SHORT,96598.0,98152.73,98152.73,98152.73,94639.04,292.46,-292.7,14330.53,SL,ACTIVE,44.0,neutral,0,98152.73,1.0,4
2025-02-21T16:00:00+00:00,2025-02-24T20:00:00+00:00,SHORT,95247.5,92973.36,97052.37,95247.5,92973.36,286.61,360.9,14691.43,TP,ACTIVE,55.0,neutral,1,95247.5,1.0,18
2025-02-24T16:00:00+00:00,2025-02-25T00:00:00+00:00,SHORT,93916.1,91111.6,95399.96,93421.48,91111.6,293.83,555.1,15246.53,TP,ACTIVE,49.0,bear,1,93421.48,1.5,1
2025-02-24T20:00:00+00:00,2025-02-25T04:00:00+00:00,SHORT,91514.5,88251.97,93240.7,93240.7,88251.97,304.93,576.07,15822.6,TP,ACTIVE,49.0,bear,0,93240.7,1.5,1
2025-02-25T00:00:00+00:00,2025-02-25T08:00:00+00:00,SHORT,92125.3,88761.69,93904.99,91532.07,88761.69,316.45,597.84,16420.45,TP,ACTIVE,25.0,bear,1,91532.07,1.5,1
2025-02-25T04:00:00+00:00,2025-02-25T20:00:00+00:00,SHORT,89262.9,89262.9,91360.69,89262.9,85298.08,328.41,-0.26,16420.18,TRAIL_SL,ADVISORY,25.0,bear,1,89262.9,1.5,3
2025-02-25T16:00:00+00:00,2025-02-26T20:00:00+00:00,SHORT,87914.3,83145.81,90437.31,87073.3,83145.81,328.4,620.42,17040.6,TP,ADVISORY,25.0,bear,1,87073.3,1.5,6
2025-03-15T20:00:00+00:00,2025-03-16T08:00:00+00:00,LONG,84302.9,82447.51,82447.51,82447.51,87809.59,340.81,-341.08,16699.52,SL,ACTIVE,46.0,bull,0,82447.51,1.5,2
2025-03-16T04:00:00+00:00,2025-03-16T16:00:00+00:00,SHORT,84242.0,84242.0,85957.09,84242.0,82080.99,333.99,-0.27,16699.25,TRAIL_SL,ACTIVE,30.0,neutral,1,84242.0,1.0,2
