signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2025-07-16T20:00:00+00:00,2025-07-17T00:00:00+00:00,2025-07-17T08:00:00+00:00,LONG,117997.75,118835.53,94.5,TP,2,0.9333,bull,ACTIVE,pullback,117997.75,,4H_OHLC_APPROX
2025-07-17T12:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,118280.62,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-18T00:00:00+00:00,2025-07-18T04:00:00+00:00,2025-07-18T12:00:00+00:00,LONG,119611.74,118017.31,-211.95,SL,2,0.9333,bull,ACTIVE,pullback,119611.74,,4H_OHLC_APPROX
2025-07-19T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118725.67,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-19T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118891.5,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-19T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118615.73,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-19T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118568.19,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-19T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118403.47,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-20T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118523.77,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-20T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118574.22,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-20T08:00:00+00:00,2025-07-20T12:00:00+00:00,2025-07-20T20:00:00+00:00,SHORT,118458.55,117216.0,145.34,TRAIL_TP,2,0.9333,bear,ACTIVE,pullback,118458.55,,4H_OHLC_APPROX
2025-07-21T00:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,117782.93,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-21T04:00:00+00:00,2025-07-21T08:00:00+00:00,2025-07-21T16:00:00+00:00,LONG,118755.44,117172.43,-211.95,SL,2,0.9333,bull,ACTIVE,pullback,118755.44,,4H_OHLC_APPROX
2025-07-21T20:00:00+00:00,2025-07-22T00:00:00+00:00,2025-07-22T04:00:00+00:00,SHORT,117916.85,117079.64,94.5,TP,1,0.9333,neutral,ACTIVE,pullback,117916.85,,4H_OHLC_APPROX
2025-07-22T08:00:00+00:00,2025-07-22T12:00:00+00:00,2025-07-22T16:00:00+00:00,LONG,118546.49,119388.17,94.5,TP,1,0.9333,bull,ACTIVE,pullback,118546.49,,4H_OHLC_APPROX
2025-07-22T20:00:00+00:00,2025-07-23T00:00:00+00:00,2025-07-23T08:00:00+00:00,LONG,119393.73,117802.21,-211.95,SL,2,0.9333,bull,ACTIVE,pullback,119393.73,,4H_OHLC_APPROX
2025-07-23T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118936.12,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-24T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,119043.76,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-24T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118959.84,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-24T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118885.77,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-25T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,117087.12,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-25T12:00:00+00:00,2025-07-25T16:00:00+00:00,2025-07-26T08:00:00+00:00,SHORT,116265.84,117815.66,-211.95,SL,4,0.9333,bear,ACTIVE,pullback,116265.84,,4H_OHLC_APPROX
2025-07-26T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118701.66,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-26T16:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,118800.04,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-26T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118478.65,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-27T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118752.81,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-27T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,118674.02,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-27T20:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,118826.28,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-28T00:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,118673.35,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-07-28T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ADVISORY,pullback,119407.37,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
