entry_time,exit_time,side,entry_price,exit_price,sl,initial_tp,pnl_usd,equity,exit_type,gate,fgi,regime,bcd_conf,notional,leverage,entry_to_sl_pct,entry_to_tp_pct,actual_move_pct
2026-01-05T16:00:00+00:00,2026-01-05T20:00:00+00:00,LONG,94248.6,93822.4,92992.27,94917.77,-79.83,10601.44,TIME_EXIT,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.4522
2026-01-05T20:00:00+00:00,2026-01-06T00:00:00+00:00,LONG,93822.4,93725.8,92571.75,94488.54,-27.44,10574.0,TIME_EXIT,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.103
2026-01-06T00:00:00+00:00,2026-01-06T04:00:00+00:00,LONG,93725.8,93207.4,92476.44,94391.25,-94.97,10479.03,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.5531
2026-01-06T04:00:00+00:00,2026-01-06T08:00:00+00:00,LONG,93207.4,93799.9,91964.95,93869.17,83.35,10562.38,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,0.6357
2026-01-06T08:00:00+00:00,2026-01-06T12:00:00+00:00,LONG,93799.9,93608.2,92549.55,94465.88,-42.66,10519.72,TIME_EXIT,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2044
2026-01-06T12:00:00+00:00,2026-01-06T16:00:00+00:00,LONG,93608.2,92360.4,92360.4,94272.82,-211.95,10307.77,SL,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-06T16:00:00+00:00,2026-01-06T20:00:00+00:00,LONG,92062.2,93708.0,90835.01,92715.84,256.16,10563.93,TRAIL_TP,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,1.7877
2026-01-06T20:00:00+00:00,2026-01-07T00:00:00+00:00,LONG,93708.0,92458.87,92458.87,94373.33,-211.95,10351.98,SL,ACTIVE,44.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-07T00:00:00+00:00,2026-01-07T04:00:00+00:00,LONG,92778.2,92848.1,91541.47,93436.93,-0.7,10351.28,TIME_EXIT,ACTIVE,42.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0753
2026-01-07T04:00:00+00:00,2026-01-07T08:00:00+00:00,LONG,92848.1,91610.43,91610.43,93507.32,-211.95,10139.33,SL,ACTIVE,42.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-07T08:00:00+00:00,2026-01-07T12:00:00+00:00,LONG,92041.9,91303.1,90814.98,92695.4,-132.4,10006.93,TIME_EXIT,ACTIVE,42.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.8027
2026-01-07T12:00:00+00:00,2026-01-07T16:00:00+00:00,LONG,91303.1,91143.6,90086.03,91951.35,-38.2,9968.73,TIME_EXIT,ACTIVE,42.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.1747
2026-01-07T16:00:00+00:00,2026-01-07T20:00:00+00:00,LONG,91143.6,91328.0,89928.66,91790.72,18.35,9987.08,TIME_EXIT,ACTIVE,42.0,bull,1.0,15000.0,15.0,1.333,0.71,0.2023
2026-01-07T20:00:00+00:00,2026-01-08T00:00:00+00:00,LONG,91328.0,90780.1,90110.6,91976.43,-101.99,9885.09,TIME_EXIT,ACTIVE,42.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.5999
2026-01-08T00:00:00+00:00,2026-01-08T04:00:00+00:00,LONG,90780.1,90509.9,89570.0,91424.64,-56.65,9828.44,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2976
2026-01-08T04:00:00+00:00,2026-01-08T08:00:00+00:00,LONG,90509.9,90192.3,89303.4,91152.52,-64.64,9763.8,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.3509
2026-01-08T08:00:00+00:00,2026-01-08T12:00:00+00:00,LONG,90192.3,90730.0,88990.04,90832.67,77.43,9841.23,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.5962
2026-01-08T12:00:00+00:00,2026-01-08T16:00:00+00:00,LONG,90730.0,91374.18,89520.57,91374.18,94.5,9935.73,TP,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-08T16:00:00+00:00,2026-01-08T20:00:00+00:00,LONG,90890.9,91059.8,89679.32,91536.23,15.87,9951.6,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1858
2026-01-08T20:00:00+00:00,2026-01-09T00:00:00+00:00,LONG,91059.8,91190.1,89845.97,91706.32,9.46,9961.06,TIME_EXIT,ACTIVE,28.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1431
2026-01-09T00:00:00+00:00,2026-01-09T04:00:00+00:00,LONG,91190.1,90712.1,89974.54,91837.55,-90.63,9870.43,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.5242
2026-01-09T04:00:00+00:00,2026-01-09T08:00:00+00:00,LONG,90712.1,90398.1,89502.91,91356.16,-63.92,9806.51,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.3462
2026-01-09T08:00:00+00:00,2026-01-09T12:00:00+00:00,LONG,90398.1,91137.7,89193.09,91039.93,110.72,9917.23,TRAIL_TP,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,0.8182
2026-01-09T12:00:00+00:00,2026-01-09T16:00:00+00:00,LONG,91137.7,90290.6,89922.83,91784.78,-151.42,9765.81,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.9295
2026-01-09T16:00:00+00:00,2026-01-09T20:00:00+00:00,LONG,90290.6,90603.6,89087.03,90931.66,40.0,9805.81,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,0.3467
2026-01-09T20:00:00+00:00,2026-01-10T00:00:00+00:00,LONG,90603.6,90591.3,89395.85,91246.89,-14.04,9791.77,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.0136
2026-01-10T00:00:00+00:00,2026-01-10T04:00:00+00:00,LONG,90591.3,90627.1,89383.72,91234.5,-6.07,9785.7,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0395
2026-01-10T04:00:00+00:00,2026-01-10T08:00:00+00:00,LONG,90627.1,90692.8,89419.04,91270.55,-1.13,9784.57,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0725
2026-01-10T08:00:00+00:00,2026-01-10T12:00:00+00:00,LONG,90692.8,90622.7,89483.86,91336.72,-23.59,9760.98,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.0773
2026-01-10T12:00:00+00:00,2026-01-10T16:00:00+00:00,LONG,90622.7,90591.4,89414.7,91266.12,-17.18,9743.8,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.0345
2026-01-10T16:00:00+00:00,2026-01-10T20:00:00+00:00,LONG,90591.4,90469.6,89383.82,91234.6,-32.17,9711.63,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.1344
2026-01-10T20:00:00+00:00,2026-01-11T00:00:00+00:00,LONG,90469.6,90696.5,89263.64,91111.93,25.62,9737.25,TIME_EXIT,ACTIVE,25.0,bull,1.0,15000.0,15.0,1.333,0.71,0.2508
2026-01-11T00:00:00+00:00,2026-01-11T04:00:00+00:00,LONG,90696.5,90664.0,89487.52,91340.45,-17.38,9719.87,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.0358
2026-01-11T04:00:00+00:00,2026-01-11T08:00:00+00:00,LONG,90664.0,90707.3,89455.45,91307.71,-4.84,9715.03,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0478
2026-01-11T08:00:00+00:00,2026-01-11T12:00:00+00:00,LONG,90707.3,90834.1,89498.17,91351.32,8.97,9724.0,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1398
2026-01-11T12:00:00+00:00,2026-01-11T16:00:00+00:00,LONG,90834.1,90644.7,89623.28,91479.02,-43.28,9680.72,TIME_EXIT,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2085
2026-01-11T16:00:00+00:00,2026-01-11T20:00:00+00:00,LONG,90644.7,90964.4,89436.41,91288.28,40.9,9721.62,TIME_EXIT,ADVISORY,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.3527
2026-01-11T20:00:00+00:00,2026-01-12T00:00:00+00:00,LONG,90964.4,91766.2,89751.84,91610.25,120.22,9841.84,TRAIL_TP,ACTIVE,29.0,bull,1.0,15000.0,15.0,1.333,0.71,0.8814
2026-01-12T00:00:00+00:00,2026-01-12T04:00:00+00:00,LONG,91766.2,91369.2,90542.96,92417.74,-76.89,9764.95,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.4326
2026-01-12T04:00:00+00:00,2026-01-12T08:00:00+00:00,LONG,91369.2,90573.9,90151.25,92017.92,-142.56,9622.39,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.8704
2026-01-12T08:00:00+00:00,2026-01-12T12:00:00+00:00,LONG,90573.9,91618.7,89366.55,91216.97,161.03,9783.42,TRAIL_TP,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,1.1535
2026-01-12T12:00:00+00:00,2026-01-12T16:00:00+00:00,LONG,91618.7,92269.19,90397.42,92269.19,94.5,9877.92,TP,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-12T16:00:00+00:00,2026-01-12T20:00:00+00:00,LONG,91821.9,91252.6,90597.91,92473.84,-105.0,9772.92,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.62
2026-01-12T20:00:00+00:00,2026-01-13T00:00:00+00:00,LONG,91252.6,91380.9,90036.2,91900.49,9.09,9782.01,TIME_EXIT,ACTIVE,27.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1406
2026-01-13T00:00:00+00:00,2026-01-13T04:00:00+00:00,LONG,91380.9,92029.7,90162.79,92029.7,94.5,9876.51,TP,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-13T04:00:00+00:00,2026-01-13T08:00:00+00:00,LONG,91908.0,92560.55,90682.87,92560.55,94.5,9971.01,TP,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-13T08:00:00+00:00,2026-01-13T12:00:00+00:00,LONG,91962.1,93407.9,90736.25,92615.03,223.83,10194.84,TRAIL_TP,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,1.5722
2026-01-13T12:00:00+00:00,2026-01-13T16:00:00+00:00,LONG,93407.9,94179.5,92162.77,94071.1,111.91,10306.75,TRAIL_TP,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,0.8261
2026-01-13T16:00:00+00:00,2026-01-13T20:00:00+00:00,LONG,94179.5,95375.2,92924.09,94848.17,178.44,10485.19,TRAIL_TP,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,1.2696
2026-01-13T20:00:00+00:00,2026-01-14T00:00:00+00:00,LONG,95375.2,95665.7,94103.85,96052.36,33.69,10518.88,TIME_EXIT,ACTIVE,26.0,bull,1.0,15000.0,15.0,1.333,0.71,0.3046
2026-01-14T00:00:00+00:00,2026-01-14T04:00:00+00:00,LONG,95665.7,95166.6,94390.48,96344.93,-90.26,10428.62,TIME_EXIT,ACTIVE,48.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.5217
2026-01-14T04:00:00+00:00,2026-01-14T08:00:00+00:00,LONG,95166.6,94763.6,93898.03,95842.28,-75.52,10353.1,TIME_EXIT,ACTIVE,48.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.4235
2026-01-14T08:00:00+00:00,2026-01-14T12:00:00+00:00,SHORT,94763.6,96026.8,96026.8,94090.78,-211.95,10141.15,SL,ADVISORY,48.0,neutral,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-14T12:00:00+00:00,2026-01-14T16:00:00+00:00,LONG,96691.9,97378.41,95403.0,97378.41,94.5,10235.65,TP,ACTIVE,48.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-14T16:00:00+00:00,2026-01-14T20:00:00+00:00,LONG,97221.8,97912.07,95925.83,97912.07,94.5,10330.15,TP,ACTIVE,48.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-14T20:00:00+00:00,2026-01-15T00:00:00+00:00,LONG,96907.9,95943.1,95616.12,97595.95,-161.34,10168.81,TIME_EXIT,ACTIVE,48.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.9956
2026-01-15T00:00:00+00:00,2026-01-15T04:00:00+00:00,LONG,95943.1,96624.3,94664.18,96624.3,94.5,10263.31,TP,ACTIVE,61.0,bull,1.0,15000.0,15.0,1.333,0.71,0.71
2026-01-15T04:00:00+00:00,2026-01-15T08:00:00+00:00,LONG,96601.2,96548.9,95313.51,97287.07,-20.12,10243.19,TIME_EXIT,ACTIVE,61.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.0541
2026-01-15T08:00:00+00:00,2026-01-15T12:00:00+00:00,LONG,96548.9,96717.3,95261.9,97234.4,14.16,10257.35,TIME_EXIT,ACTIVE,61.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1744
2026-01-15T12:00:00+00:00,2026-01-15T16:00:00+00:00,LONG,96717.3,95428.06,95428.06,97403.99,-211.95,10045.4,SL,ACTIVE,61.0,bull,1.0,15000.0,15.0,1.333,0.71,-1.333
2026-01-15T16:00:00+00:00,2026-01-15T20:00:00+00:00,LONG,95469.2,95567.3,94196.6,96147.03,3.41,10048.81,TIME_EXIT,ACTIVE,61.0,bull,1.0,15000.0,15.0,1.333,0.71,0.1028
2026-01-15T20:00:00+00:00,2026-01-16T00:00:00+00:00,LONG,95567.3,95319.6,94293.39,96245.83,-50.88,9997.93,TIME_EXIT,ACTIVE,61.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2592
2026-01-16T00:00:00+00:00,2026-01-16T04:00:00+00:00,LONG,95319.6,95608.4,94048.99,95996.37,33.45,10031.38,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,0.303
2026-01-16T04:00:00+00:00,2026-01-16T08:00:00+00:00,LONG,95608.4,95382.6,94333.94,96287.22,-47.43,9983.95,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2362
2026-01-16T08:00:00+00:00,2026-01-16T12:00:00+00:00,LONG,95382.6,94537.5,94111.15,96059.82,-144.9,9839.05,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.886
2026-01-16T12:00:00+00:00,2026-01-16T16:00:00+00:00,LONG,94537.5,94961.0,93277.32,95208.72,55.2,9894.25,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,0.448
2026-01-16T16:00:00+00:00,2026-01-16T20:00:00+00:00,LONG,94961.0,95503.7,93695.17,95635.22,73.72,9967.97,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,0.5715
2026-01-16T20:00:00+00:00,2026-01-17T00:00:00+00:00,LONG,95503.7,95324.0,94230.64,96181.78,-40.22,9927.75,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.1882
2026-01-17T00:00:00+00:00,2026-01-17T04:00:00+00:00,LONG,95324.0,95061.1,94053.33,96000.8,-53.37,9874.38,TIME_EXIT,ACTIVE,50.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2758
2026-01-17T04:00:00+00:00,2026-01-17T08:00:00+00:00,LONG,95061.1,95283.9,93793.94,95736.03,23.16,9897.54,TIME_EXIT,ACTIVE,50.0,bull,1.0,15000.0,15.0,1.333,0.71,0.2344
2026-01-17T08:00:00+00:00,2026-01-17T12:00:00+00:00,LONG,95283.9,95529.0,94013.77,95960.42,26.58,9924.12,TIME_EXIT,ACTIVE,50.0,bull,1.0,15000.0,15.0,1.333,0.71,0.2572
2026-01-17T12:00:00+00:00,2026-01-17T16:00:00+00:00,LONG,95529.0,95258.3,94255.6,96207.26,-54.51,9869.61,TIME_EXIT,ACTIVE,50.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.2834
2026-01-17T16:00:00+00:00,2026-01-17T20:00:00+00:00,LONG,95258.3,95107.9,93988.51,95934.63,-35.68,9833.93,TIME_EXIT,ACTIVE,50.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.1579
2026-01-17T20:00:00+00:00,2026-01-18T00:00:00+00:00,LONG,95107.9,95155.0,93840.11,95783.17,-4.57,9829.36,TIME_EXIT,ACTIVE,50.0,bull,1.0,15000.0,15.0,1.333,0.71,0.0495
2026-01-18T00:00:00+00:00,2026-01-18T04:00:00+00:00,LONG,95155.0,94989.9,93886.58,95830.6,-38.03,9791.33,TIME_EXIT,ACTIVE,49.0,bull,1.0,15000.0,15.0,1.333,0.71,-0.1735
