date,pnl,n_trades
2023-04-05,182.35,1
2023-04-06,283.5,3
2023-04-07,95.17,1
2023-04-08,-51.8,1
2023-04-09,-211.95,1
2023-04-10,223.66,1
2023-04-11,94.5,1
2023-04-12,-211.95,1
2023-04-13,217.35,2
2023-04-14,-94.71999999999998,2
2023-04-15,94.5,1
2023-04-16,40.19,2
2023-04-17,-329.4,3
2023-04-18,-52.22999999999999,2
2023-04-19,-423.9,2
2023-04-20,117.2,1
2023-04-22,-211.95,1
2023-04-23,223.83,2
2023-04-24,-22.94999999999999,3
2023-04-25,-90.18999999999998,2
2023-04-26,-211.95,1
2023-04-30,-211.95,1
2023-05-02,-211.95,1
2023-05-03,115.42,1
2023-05-04,94.5,1
2023-05-07,205.63,1
2023-05-08,205.0,2
2023-05-09,225.45,2
2023-05-10,94.5,1
2023-05-14,-117.44999999999999,2
2023-05-15,-211.95,1
2023-05-17,-103.38999999999999,2
2023-05-18,255.93,2
2023-05-19,-211.95,1
2023-05-20,-139.43,1
2023-05-21,232.78,2
2023-05-22,-211.95,1
2023-05-23,-117.44999999999999,2
2023-05-24,419.5,2
2023-05-25,-117.44999999999999,2
2023-05-26,-211.95,1
2023-05-27,94.5,1
2023-05-28,-423.9,2
2023-05-29,-117.44999999999999,2
2023-05-30,236.66,2
2023-05-31,-117.44999999999999,2
2023-06-01,-211.95,1
2023-06-02,189.0,2
2023-06-03,94.5,1
2023-06-05,607.3299999999999,2
2023-06-06,-211.95,1
2023-06-07,189.0,2
2023-06-08,-211.95,1
2023-06-10,-423.9,2
2023-06-11,-117.44999999999999,2
2023-06-13,-423.9,2
2023-06-14,5.79,1
2023-06-15,-117.44999999999999,2
2023-06-16,94.5,1
2023-06-17,111.09,1
2023-06-18,-17.09,1
2023-06-19,-77.77,1
2023-06-20,381.55,3
2023-06-21,561.6,2
2023-06-23,539.5,1
2023-06-24,-211.95,1
2023-06-25,-117.44999999999999,2
2023-06-26,189.0,2
2023-06-27,332.7,3
2023-06-28,-423.9,2
2023-07-03,211.09,1
2023-07-04,-211.95,1
2023-07-05,164.11,1
2023-07-06,-227.83999999999997,3
2023-07-07,94.5,1
2023-07-08,-52.51,1
2023-07-09,-81.59,1
2023-07-10,-117.44999999999999,2
2023-07-11,-211.95,1
2023-07-13,-423.9,2
2023-07-14,-211.95,1
2023-07-16,94.5,1
2023-07-17,106.74000000000001,2
2023-07-18,189.0,2
2023-07-19,-22.94999999999999,3
2023-07-20,-117.44999999999999,2
2023-07-21,-62.55,1
2023-07-22,94.5,1
2023-07-23,-211.95,1
