entry_time,exit_time,side,entry,exit,exit_type,size_usd,net_pnl,equity
2023-05-03 20:00:00,2023-05-05 20:00:00,SHORT,29018.4,29718.485975883537,SL,18035.36510641973,-449.54208819187323,21306.147717144915
2023-05-05 20:00:00,2023-05-06 08:00:00,SHORT,29491.5,28659.756925476453,TP,10072.826167064797,276.02370862827956,21582.171425773195
2023-05-06 08:00:00,2023-05-07 16:00:00,SHORT,29264.5,28473.315329909536,TP,21287.62026754378,558.4944751399155,22140.66590091311
2023-05-07 16:00:00,2023-05-07 20:00:00,SHORT,28894.0,28144.321639557107,TP,22755.79979528093,572.2131175214603,22712.87901843457
2023-05-07 20:00:00,2023-05-08 04:00:00,SHORT,28419.4,27640.74152244589,TP,22105.930908385642,587.9920290982127,23300.871047532783
2023-05-08 04:00:00,2023-05-10 12:00:00,SHORT,27957.8,27139.407741292627,TP,21226.694514490948,604.3752056559476,23905.24625318873
2023-05-10 12:00:00,2023-05-10 16:00:00,SHORT,28141.2,27386.898567702803,TP,23782.61658822467,618.447140147787,24523.693393336514
2023-05-10 16:00:00,2023-05-11 12:00:00,SHORT,27683.6,26751.26295572403,TP,19417.98830775101,638.4307665094404,25162.124159845956
2023-05-11 12:00:00,2023-05-12 00:00:00,SHORT,27166.3,26252.659182594387,TP,19951.292325275746,655.0289437356703,25817.153103581626
2023-05-12 00:00:00,2023-05-12 16:00:00,SHORT,26574.8,26445.2,REGIME_FLIP,20031.306977056185,81.66364386198009,25898.816747443605
2023-05-12 16:00:00,2023-05-15 00:00:00,LONG,26445.2,27368.05520737903,TP,19790.735915323952,674.8025245329061,26573.61927197651
2023-05-15 00:00:00,2023-05-17 04:00:00,LONG,27216.3,26699.918963655473,SL,28011.70233948537,-553.881747311118,26019.73752466539
2023-05-17 04:00:00,2023-05-17 16:00:00,LONG,26831.9,27464.295910709327,TP,29439.74319315171,670.3078727698901,26690.04539743528
2023-05-17 16:00:00,2023-05-18 12:00:00,LONG,27377.1,26858.71409917227,SL,28191.20044288974,-556.3538683030158,26133.691529132262
2023-05-18 12:00:00,2023-05-20 16:00:00,LONG,27075.2,27054.3,REGIME_FLIP,29277.1175320091,-46.02140728419913,26087.670121848063
2023-05-28 16:00:00,2023-05-28 20:00:00,SHORT,27518.4,27920.533033621923,SL,35704.15168409217,-550.3167237842363,25537.353398063828
2023-05-28 20:00:00,2023-05-31 00:00:00,SHORT,28055.7,27452.43529170619,TP,15835.355323125495,327.8297610490164,25865.183159112843
2023-05-31 00:00:00,2023-05-31 04:00:00,SHORT,27646.5,27045.909809688692,TP,31750.181637732527,664.3380722661585,26529.521231379
2023-05-31 04:00:00,2023-06-01 20:00:00,SHORT,27150.4,26488.89482328236,TP,29036.290310509252,684.2248672550312,27213.74609863403
2023-06-01 20:00:00,2023-06-03 08:00:00,SHORT,26805.3,27294.44735517721,SL,29826.29347074518,-568.1359567492772,26645.610141884754
2023-06-03 08:00:00,2023-06-05 08:00:00,SHORT,27121.0,26574.5689381875,TP,35266.691721905554,682.3362504060728,27327.946392290825
2023-06-05 08:00:00,2023-06-05 12:00:00,SHORT,26760.1,26285.2394703951,TP,41067.4170714677,695.8913034705815,28023.837695761405
2023-06-05 12:00:00,2023-06-05 16:00:00,SHORT,25991.9,25618.5,REGIME_FLIP,34636.83115718937,469.8837373447472,28493.72143310615
2023-06-13 16:00:00,2023-06-14 16:00:00,LONG,25891.2,25412.81791766987,SL,30842.987963739208,-594.548819033116,27899.172614073035
