date,pnl,n_trades
2023-11-23,94.5,1
2023-11-24,94.5,1
2023-11-25,94.5,1
2023-11-27,-211.95,1
2023-11-28,-211.95,1
2023-11-29,94.5,1
2023-11-30,-128.38,1
2023-12-01,130.63,1
2023-12-03,147.25,1
2023-12-04,255.71,1
2023-12-05,161.6,1
2023-12-07,-211.95,1
2023-12-08,162.19,1
2023-12-10,-78.21,1
2023-12-11,-211.95,1
2023-12-17,269.98,1
2023-12-18,-117.44999999999999,2
2023-12-20,459.65,1
2023-12-21,94.5,1
2023-12-22,94.5,1
2023-12-24,112.86,2
2023-12-25,-117.44999999999999,2
2023-12-26,-107.55999999999999,2
2023-12-27,-211.95,1
2023-12-28,-423.9,2
2023-12-29,488.32,2
2023-12-31,-211.95,1
2024-01-01,-117.44999999999999,2
2024-01-02,189.0,2
2024-01-03,-211.95,1
2024-01-05,94.5,1
2024-01-08,651.6800000000001,2
2024-01-18,94.5,1
2024-01-21,59.14,1
2024-01-22,509.96,1
2024-01-26,94.5,1
2024-01-29,497.36,2
2024-01-30,94.5,1
2024-01-31,-39.89999999999998,2
2024-02-01,217.43,2
2024-02-02,94.5,1
2024-02-04,94.5,1
2024-02-05,-102.10999999999999,2
2024-02-06,190.68,1
2024-02-07,179.91,1
2024-02-08,94.5,1
2024-02-09,168.97,1
2024-02-10,109.3,1
2024-02-12,693.31,2
2024-02-13,-211.95,1
2024-02-14,108.45,1
2024-02-16,94.5,1
2024-02-17,-211.95,1
2024-02-18,116.38,1
2024-02-20,-117.44999999999999,2
2024-02-22,94.5,1
2024-02-23,-211.95,1
2024-02-25,-211.95,1
2024-02-26,-211.95,1
2024-03-04,288.18,1
2024-03-10,94.5,1
2024-03-13,153.44,1
2024-03-29,-211.95,1
2024-03-30,94.5,1
2024-03-31,94.5,1
2024-04-01,-117.44999999999999,2
2024-04-02,-423.9,2
2024-04-03,147.85,1
2024-04-04,-112.66999999999999,2
2024-04-11,159.82,1
2024-04-12,-211.95,1
2024-04-24,-211.95,1
2024-04-26,276.32,2
2024-04-27,94.5,1
2024-04-28,255.9,2
2024-04-29,94.5,1
2024-04-30,-211.95,1
2024-05-05,151.86,1
2024-05-06,-211.95,1
2024-05-09,-211.95,1
2024-05-10,-211.95,1
2024-05-12,94.5,1
2024-05-13,-117.44999999999999,2
2024-05-14,112.55,1
2024-05-15,-211.95,1
2024-05-16,133.63,1
2024-05-17,440.75,2
2024-05-18,94.5,1
2024-05-19,-211.95,1
2024-05-20,138.23,1
2024-05-21,137.31,2
2024-05-22,-117.44999999999999,2
2024-05-23,-211.95,1
2024-05-26,94.5,1
2024-05-27,544.39,2
2024-05-28,-117.44999999999999,2
2024-05-29,332.98,2
2024-05-30,94.5,1
2024-05-31,267.86,2
2024-06-02,94.5,1
2024-06-03,-211.95,1
2024-06-04,94.5,1
2024-06-05,144.0,1
2024-06-06,94.5,1
2024-06-07,-40.23999999999998,2
2024-06-09,94.5,1
2024-06-10,155.08,1
2024-06-11,-117.44999999999999,2
2024-06-12,-211.95,1
2024-06-13,400.45,2
2024-06-14,153.56,1
