Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Open Short,2026-03-28 08:00:52,9.304820,0.000140,66463.000000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-27 05:33:06,74.622926,0.001090,68461.400000,0.262363,0.0000,Taker,trade
BTC,Open Short,2026-03-27 04:00:33,74.885289,0.001090,68702.100000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-26 15:14:50,74.415132,0.001080,68902.900000,0.521100,0.0000,Taker,trade
BTC,Open Short,2026-03-26 13:44:15,74.936232,0.001080,69385.400000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,5.544560,0.000080,69307.000000,-0.007328,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861320,0.000200,69306.600000,-0.018240,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861300,0.000200,69306.500000,-0.018220,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861280,0.000200,69306.400000,-0.018200,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861260,0.000200,69306.300000,-0.018180,0.0000,Taker,trade
BTC,Close Short,2026-03-26 13:42:55,13.861220,0.000200,69306.100000,-0.018140,0.0000,Taker,trade
BTC,Open Short,2026-03-26 12:00:24,74.752632,0.001080,69215.400000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-23 07:01:10,74.509380,0.001100,67735.800000,0.262790,0.0000,Taker,trade
BTC,Open Short,2026-03-23 00:00:25,74.772170,0.001100,67974.700000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-22 14:19:40,75.574510,0.001100,68704.100000,-0.536140,0.0000,Taker,trade
BTC,Open Short,2026-03-22 12:00:35,75.038370,0.001100,68216.700000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-22 09:18:28,74.802013,0.001090,68625.700000,0.254951,0.0000,Taker,trade
BTC,Open Short,2026-03-22 08:00:25,75.056964,0.001090,68859.600000,-,0.0000,Taker,trade
BTC,Close Short,2026-03-22 00:02:27,74.366340,0.001090,68226.000000,0.564191,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,2.749636,0.000040,68740.900000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748200,0.000200,68741.000000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,3.437055,0.000050,68741.100000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748880,0.000200,68744.400000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748900,0.000200,68744.500000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748920,0.000200,68744.600000,-,0.0000,Taker,trade
BTC,Open Short,2026-03-22 00:00:50,13.748940,0.000200,68744.700000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-18 15:00:49,144.131015,0.002030,71000.500000,-6.295049,0.0000,Taker,trade
BTC,Open Long,2026-03-18 08:00:31,75.307314,0.001020,73830.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-18 04:09:55,75.118750,0.001010,74375.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 14:44:00,149.876122,0.002020,74196.100000,0.548599,0.0000,Taker,trade
BTC,Close Long,2026-03-17 14:40:51,75.705624,0.001020,74221.200000,0.302617,0.0000,Taker,trade
BTC,Close Long,2026-03-17 14:40:50,75.725106,0.001020,74240.300000,0.322099,0.0000,Taker,trade
BTC,Open Long,2026-03-17 14:16:37,75.174816,0.001020,73700.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 14:15:54,62.645850,0.000850,73701.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 14:15:54,12.529170,0.000170,73701.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,19.243770,0.000260,74014.500000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,11.102160,0.000150,74014.400000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,14.802620,0.000200,74013.100000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,14.802600,0.000200,74013.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,14.802580,0.000200,74012.900000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 08:00:20,75.029971,0.001010,74287.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 07:39:36,150.169628,0.002020,74341.400000,0.032153,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:25:55,75.074916,0.001010,74331.600000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,30.471159,0.000410,74319.900000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,14.863820,0.000200,74319.100000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,14.863800,0.000200,74319.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,14.863780,0.000200,74318.900000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 04:39:29,148.855776,0.002010,74057.600000,-1.014447,0.0000,Taker,trade
BTC,Open Long,2026-03-17 04:02:17,134.957763,0.001810,74562.300000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 04:02:17,14.912460,0.000200,74562.300000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 02:44:43,149.943913,0.001990,75348.700000,0.122584,0.0000,Taker,trade
BTC,Open Long,2026-03-17 02:07:53,149.821329,0.001990,75287.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 01:10:27,150.845200,0.002000,75422.600000,0.985900,0.0000,Taker,trade
BTC,Open Long,2026-03-17 00:56:04,74.959300,0.001000,74959.300000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 00:51:59,74.900000,0.001000,74900.000000,-,0.0000,Maker,trade
BTC,Close Long,2026-03-16 16:32:11,200.589480,0.002730,73476.000000,0.685433,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,5.870832,0.000080,73385.400000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,14.676960,0.000200,73384.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,14.676940,0.000200,73384.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,14.676920,0.000200,73384.600000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:01:32,3.658595,0.000050,73171.900000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-16 16:01:31,73.171900,0.001000,73171.900000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-16 16:01:31,73.171900,0.001000,73171.900000,-,0.0000,Maker,trade
BTC,Close Long,2026-03-16 13:32:15,150.994476,0.002040,74016.900000,0.962880,0.0000,Taker,trade
BTC,Open Long,2026-03-16 08:14:02,95.608370,0.001300,73544.900000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-16 08:14:02,54.423226,0.000740,73544.900000,-,0.0000,Maker,trade
BTC,Close Short,2026-03-15 07:06:14,10.715835,0.000150,71438.900000,-0.007035,0.0000,Taker,trade
BTC,Close Short,2026-03-15 07:06:14,4.286334,0.000060,71438.900000,-0.002814,0.0000,Taker,trade
BTC,Open Short,2026-03-15 06:50:57,14.992320,0.000210,71392.000000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-15 06:43:11,14.995029,0.000210,71404.900000,0.006111,0.0000,Maker,trade
BTC,Open Long,2026-03-15 06:39:39,14.988918,0.000210,71375.800000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-15 06:32:54,14.994609,0.000210,71402.900000,-0.010018,0.0000,Maker,trade
BTC,Open Long,2026-03-15 06:27:31,0.714507,0.000010,71450.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-15 06:27:31,14.290120,0.000200,71450.600000,-,0.0000,Taker,trade
