Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
BTC,Open Long,2026-03-17 14:15:54,12.529170,0.000170,73701.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,19.243770,0.000260,74014.500000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,11.102160,0.000150,74014.400000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,14.802620,0.000200,74013.100000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,14.802600,0.000200,74013.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 12:00:25,14.802580,0.000200,74012.900000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 08:00:20,75.029971,0.001010,74287.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 07:39:36,150.169628,0.002020,74341.400000,0.032153,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:25:55,75.074916,0.001010,74331.600000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,30.471159,0.000410,74319.900000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,14.863820,0.000200,74319.100000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,14.863800,0.000200,74319.000000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 07:21:35,14.863780,0.000200,74318.900000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 04:39:29,148.855776,0.002010,74057.600000,-1.014447,0.0000,Taker,trade
BTC,Open Long,2026-03-17 04:02:17,134.957763,0.001810,74562.300000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 04:02:17,14.912460,0.000200,74562.300000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 02:44:43,149.943913,0.001990,75348.700000,0.122584,0.0000,Taker,trade
BTC,Open Long,2026-03-17 02:07:53,149.821329,0.001990,75287.100000,-,0.0000,Taker,trade
BTC,Close Long,2026-03-17 01:10:27,150.845200,0.002000,75422.600000,0.985900,0.0000,Taker,trade
BTC,Open Long,2026-03-17 00:56:04,74.959300,0.001000,74959.300000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-17 00:51:59,74.900000,0.001000,74900.000000,-,0.0000,Maker,trade
BTC,Close Long,2026-03-16 16:32:11,200.589480,0.002730,73476.000000,0.685433,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,5.870832,0.000080,73385.400000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,14.676960,0.000200,73384.800000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,14.676940,0.000200,73384.700000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:07:50,14.676920,0.000200,73384.600000,-,0.0000,Taker,trade
BTC,Open Long,2026-03-16 16:01:32,3.658595,0.000050,73171.900000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-16 16:01:31,73.171900,0.001000,73171.900000,-,0.0000,Maker,trade
BTC,Open Long,2026-03-16 16:01:31,73.171900,0.001000,73171.900000,-,0.0000,Maker,trade
BTC,Close Long,2026-03-16 13:32:15,150.994476,0.002040,74016.900000,0.962880,0.0000,Taker,trade
BTC,Open Long,2026-03-16 08:14:02,95.608370,0.001300,73544.900000,-,0.0000,Maker,trade
