date,pnl,n_trades
2023-08-16,560.2019875461151,2
2023-08-17,1217.5844550171973,4
2023-08-18,253.97350759235826,1
2023-08-23,-471.7308280424971,2
2023-08-24,-453.03549389400985,2
2023-08-29,-435.0810812586957,2
2023-08-31,-620.5058890491679,3
2023-09-01,73.50546616571575,2
2023-09-07,-396.1598558701096,2
2023-09-08,544.8083792399202,2
2023-09-11,361.14540665381895,3
2023-09-12,-618.3161344555148,3
2023-09-14,276.6945565569768,1
2023-09-18,151.14935069495937,4
2023-09-19,585.4127477703928,2
2023-09-20,-218.1915168780403,1
2023-09-21,-423.3684858557671,2
2023-09-24,75.99954795995464,2
2023-09-27,-131.84119177127354,3
2023-09-28,-404.376736813962,2
2023-10-01,-196.13832075672482,1
2023-10-02,-368.1292639759122,4
2023-10-06,258.4269004200425,1
2023-10-09,-376.22985470083944,2
2023-10-10,-182.48599684783193,1
2023-10-11,507.04388964901295,2
2023-10-15,-188.98234763014034,1
2023-10-16,-718.8522760635751,4
2023-10-18,186.05392228809507,1
2023-10-19,244.01441947146157,1
2023-10-20,250.8429189859504,1
2023-10-21,257.86250723085374,1
2023-10-22,265.07853163320175,1
2023-10-23,840.5794862143225,3
2023-10-24,230.62699579749747,1
2023-11-01,302.473131455044,1
2023-11-02,-440.35439852922366,2
2023-11-05,-213.58887493346373,1
2023-11-07,292.6375910011025,1
2023-11-08,300.8267613476779,1
2023-11-09,-140.96824291800212,3
2023-11-14,-432.3707735020664,2
2023-11-15,155.8060919439219,4
2023-11-16,-421.41013911475073,2
2023-11-20,285.7681147457038,1
2023-11-21,373.7061593512226,3
2023-11-22,-639.8213672803516,3
2023-12-01,286.3180816900575,1
2023-12-02,596.8973558825013,2
2023-12-03,630.7719399563193,2
2023-12-04,666.5689440825427,2
2023-12-05,1071.4480962527446,3
2023-12-07,-534.3693106852401,2
2023-12-08,362.36838252935127,1
2023-12-10,-266.4429005614147,1
2023-12-11,17.60807347591816,2
2023-12-13,-517.6910174761308,2
2023-12-14,351.058440111843,1
2023-12-18,-258.1269049939478,1
2023-12-20,93.61996005860152,2
2023-12-24,-504.56750794241765,2
2023-12-26,-484.57081152001814,2
2023-12-27,328.59885042102525,1
2023-12-29,337.7943606512054,1
2024-01-01,-730.3073463049618,3
2024-01-02,-233.7562360509435,1
2024-01-03,-145.9933767685913,3
2024-01-04,-447.78361376279565,2
2024-01-08,615.8025889031271,2
2024-01-09,-454.4424342104004,2
2024-01-10,-140.47729303743802,3
2024-01-11,304.23697344855384,1
2024-01-12,397.85835092649893,3
2024-01-22,656.8323993133524,2
2024-01-23,-156.02033863763057,3
2024-01-26,-478.5378117967006,2
2024-01-28,252.82220431155406,1
2024-01-29,672.4444268088212,2
2024-01-31,-496.2422823433295,2
2024-02-07,682.4440930795158,2
2024-02-08,721.1735489547641,2
2024-02-09,1159.2199620985277,3
2024-02-10,408.23199647672726,1
2024-02-12,851.0555737355401,2
2024-02-13,-628.0515437026659,2
2024-02-14,863.7112986934442,2
2024-02-26,1283.2717635720453,3
2024-02-27,985.5549582959395,2
2024-02-28,1313.7608389086831,3
2024-02-29,412.7412995444854,1
2024-03-04,1437.3567751310761,3
2024-03-05,-203.0231417882465,3
2024-03-11,120.64943685955939,2
2024-03-12,-321.75684137766353,1
2024-03-14,-629.0955528151485,2
2024-03-15,-307.4826452360411,1
2024-03-19,1144.9520758123385,2
2024-03-24,-426.73964843713657,1
2024-03-25,-828.0254035469151,2
2024-04-01,-401.62427115662376,1
2024-04-02,-779.2927149296465,2
2024-04-03,-377.98703676312095,1
2024-04-04,-370.42124823527035,1
2024-04-06,-363.00689653059317,1
2024-04-07,-355.74095048963676,1
2024-04-08,-690.2628925297458,2
2024-04-09,-334.80413756776085,1
2024-04-10,121.42999966347145,2
2024-04-12,-654.4505282986147,2
2024-04-13,443.7982770397906,1
2024-04-16,456.2175280244701,1
2024-04-20,-335.4484754032098,1
2024-04-22,-328.73413871953915,1
2024-04-24,119.2284738297389,2
2024-04-26,453.7343226667505,1
2024-04-29,-212.62114424719488,3
2024-04-30,933.8493857449868,2
2024-05-01,619.0349286455719,3
2024-05-02,-360.4493271471921,1
2024-05-03,-699.398803608553,2
2024-05-04,-339.2354069619851,1
2024-05-06,-658.2363175670064,2
2024-05-07,-319.2700129238128,1
2024-05-09,115.79593323887497,2
2024-05-10,440.6714910293563,1
2024-05-13,-641.5499732082787,2
2024-05-15,-914.9686199717205,3
2024-05-20,1263.0312949511035,3
2024-05-21,-629.9186725118748,2
2024-05-23,-898.3802393449633,3
2024-05-25,402.0223767312842,1
2024-05-28,-295.59976342086,1
2024-05-31,-289.68303855622804,1
2024-06-02,-283.8847428564866,1
2024-06-03,-550.8365103299793,2
2024-06-04,-267.1769622527063,1
2024-06-07,-518.4175241226163,2
2024-06-10,-251.45250301341784,1
2024-06-11,438.2657970169784,3
2024-06-12,-414.57277417186583,4
2024-06-14,345.17748004227616,1
2024-06-18,354.8369266437808,1
2024-06-21,364.76668319897686,1
2024-06-24,1674.8884439436601,6
2024-06-25,-301.73089464748415,1
2024-06-30,-585.4643380760509,2
2024-07-01,-283.97279486928994,1
2024-07-02,389.0704261927807,1
2024-07-03,1233.7650164852164,3
2024-07-04,1340.26759426225,3
2024-07-05,471.9899015785171,1
2024-07-06,-687.1447662860132,2
2024-07-07,465.96900784454243,1
2024-07-08,-678.3792702365673,2
2024-07-10,-329.0401222105582,1
2024-07-13,-322.4540551243917,1
2024-07-14,562.0170082892632,3
2024-07-15,927.8452473095078,2
2024-07-16,483.48581136389834,1
2024-07-18,-703.8810443637916,2
2024-07-19,967.993816827503,2
2024-07-21,504.40661013373216,1
2024-07-23,-370.8810336274171,1
2024-07-24,-719.639992819833,2
2024-07-25,-349.0531647620489,1
2024-07-26,-342.0665166161717,1
2024-07-27,124.06398946960502,2
2024-07-29,-668.6464932573076,2
2024-07-31,453.4248943579273,1
2024-08-01,-212.47614529561332,3
2024-08-02,933.2125385379572,2
2024-08-03,486.28262383013544,1
2024-08-04,1013.7704564884,2
2024-08-05,528.2601092297691,1
2024-08-15,1101.2823938894098,2
2024-08-16,-410.46334735446425,1
2024-08-17,-402.24751299381734,1
2024-08-20,-251.22526658898016,3
2024-08-21,-248.02053566494527,3
2024-08-23,1089.3263965016336,2
2024-08-27,-1193.8042835235688,3
2024-08-29,-382.11199340918733,1
2024-08-30,523.5307001768116,1
2024-09-02,-384.94263024384816,1
2024-09-03,527.4089487258144,1
2024-09-05,542.1679607469579,1
2024-09-06,1130.2765801720739,2
2024-09-09,-1238.6820215769644,3
2024-09-11,-396.476426661734,1
2024-09-13,543.2113747645266,1
2024-09-15,-399.4134733829595,1
2024-09-16,-775.0029876324451,2
2024-09-17,668.5629368265145,3
2024-09-18,544.2567968550358,1
2024-09-20,559.4872790582255,1
2024-09-26,575.1439710753889,1
2024-09-30,-837.3212398478943,2
2024-10-01,1751.5348096496753,3
2024-10-02,616.822152499295,1
2024-10-03,634.0833036148393,1
2024-10-04,-466.2299548140524,1
2024-10-06,-456.89789603849437,1
2024-10-07,-447.7526277513878,1
2024-10-09,1244.0967411047,2
2024-10-10,648.2795746730181,1
2024-10-11,-943.7954399805794,2
2024-10-12,-457.7772059642716,1
2024-10-14,1271.9503913406086,2
2024-10-15,1344.1349806080466,2
2024-10-16,700.4079544151583,1
2024-10-18,720.008170611511,1
2024-10-21,-1048.2212531756131,2
2024-10-23,188.16785864997792,2
2024-10-24,-512.1941226283238,1
2024-10-25,-501.9420450697953,1
2024-10-27,-491.89517309567833,1
2024-10-28,-783.1152479215361,4
2024-10-29,1322.305732053061,2
2024-10-31,-1449.1287938328621,3
2024-11-01,-463.8360741040132,1
2024-11-03,-454.5519312447473,1
2024-11-05,164.86128653923805,2
2024-11-06,627.3939586668793,1
2024-11-08,502.47776951140276,1
2024-11-10,2032.8783423482246,3
