i,conf,label_enc,hour,dow,ret_1,ret_4,ret_8,atr_pct,vol_ratio,pred_bcd,actual,pred_lr,pred_dt
1408,0.9795918367346939,1,16,5,0.0028612128789429203,-0.0036148802181393824,0.025225165846046282,0.011223675099843703,0.6239324015666367,0,0,0,0
1416,0.9795918367346939,1,0,0,-0.0051002104079199695,-0.015991874596781197,-0.019436183863588807,0.009788008438197996,0.7129783255905873,0,0,0,0
1424,0.9795918367346939,1,8,1,-0.0036464503348021537,-0.007304085660783888,-0.026805720325655646,0.013951247464869738,0.4573562721569544,0,1,0,1
1432,0.9795918367346939,1,16,2,0.0006046526998144675,0.00591791419338672,0.01994315481663711,0.01253402064905482,1.0049734153023158,0,1,0,0
1440,0.9795918367346939,1,0,4,-0.007632393631346601,-0.010878260754009883,-0.003429352832384769,0.010413475851913963,0.9911587369033131,0,0,0,0
1448,0.9795918367346939,1,8,5,0.0015857416015621073,0.00446671690297773,-0.026959585700134125,0.010981824139854523,0.6248327358092782,0,1,0,0
1456,0.9795918367346939,0,16,6,0.001094170370601999,-0.0027313845426716332,0.002196272779656505,0.008172837970536652,0.9602234630371452,1,0,1,1
1464,0.9795918367346939,0,0,1,0.010056975177652472,0.014386246009313819,0.012939348183090615,0.010248030445516981,1.1996333771188885,1,1,1,0
1472,0.9795918367346939,0,8,2,0.003152875276360767,0.005857711871370741,0.010024844495221563,0.012181990639971317,0.910248620982786,1,0,1,0
1480,0.9795918367346939,0,16,3,0.002794934580805375,-0.012179239670552233,-0.014702185802161094,0.01049237039803207,0.821614247864159,1,1,1,1
1488,0.9795918367346939,0,0,5,0.003788820493441758,-0.0112698531428429,0.011663366859856472,0.01197869893134408,0.2184214078961698,1,0,0,0
1496,0.9795918367346939,0,8,6,0.004865830614537936,0.011481388204210186,0.001940846947781738,0.008487871213546397,1.6784392710457452,1,0,1,1
1504,0.9795918367346939,0,16,0,-0.004642296239971033,0.009423908313957341,0.007204526761918073,0.005655906685348636,0.7766212760406503,1,1,1,0
1512,0.9795918367346939,0,0,2,-8.968617909110854e-06,-0.00799395715559259,-0.004927220640601249,0.008348064420366468,0.7603749659886995,1,1,1,1
1520,0.9795918367346939,0,8,3,-0.0006936162749913155,0.003837914401384035,0.022080935327613016,0.008684682954542179,0.9458053498861159,1,1,1,1
1528,0.9795918367346939,0,16,4,0.01300309651335918,0.012357312901093653,0.022816597622518087,0.008019950787306274,1.5407298910948144,1,0,1,1
1536,0.9795918367346939,0,0,6,-0.0020429353018701635,-0.002475134346565322,-0.0080224019848818,0.006274107899607347,0.8562846833091601,1,0,1,1
1544,0.9795918367346939,0,8,0,-0.0065690877130850645,-0.005090079880689324,-0.0053361700655562005,0.0056457693373065275,1.431529046904184,1,1,1,0
