idx,datetime,close,l1_tag,l1_conf,l2_aligned,l3_bias,l3_conf,actual_direction,combined_pred
472,2025-03-20 16:00:00+00:00,84129.3,neutral,0.933332956989314,False,NEUTRAL,50.0,DOWN,DOWN
480,2025-03-22 00:00:00+00:00,84214.1,neutral,0.9333328601166315,False,NEUTRAL,50.0,DOWN,DOWN
488,2025-03-23 08:00:00+00:00,84651.5,bull,0.9333329077370957,True,NEUTRAL,50.0,UP,UP
496,2025-03-24 16:00:00+00:00,88162.3,bull,0.9333329065238722,True,NEUTRAL,60.2,DOWN,UP
504,2025-03-26 00:00:00+00:00,87120.6,bull,0.9333329296814203,True,NEUTRAL,50.0,DOWN,UP
512,2025-03-27 08:00:00+00:00,86900.7,bull,0.9333329965762585,False,NEUTRAL,50.0,DOWN,DOWN
520,2025-03-28 16:00:00+00:00,83760.7,neutral,0.9333329561745237,False,NEUTRAL,50.0,DOWN,DOWN
528,2025-03-30 00:00:00+00:00,83042.8,neutral,0.9333330206602077,True,NEUTRAL,51.5,DOWN,UP
536,2025-03-31 08:00:00+00:00,82171.5,neutral,0.9333329954194254,True,NEUTRAL,50.0,UP,UP
544,2025-04-01 16:00:00+00:00,84911.7,neutral,0.9333330211106051,False,NEUTRAL,56.3,DOWN,DOWN
552,2025-04-03 00:00:00+00:00,83449.0,bear,0.9320019950816114,True,NEUTRAL,50.0,DOWN,DOWN
560,2025-04-04 08:00:00+00:00,82633.7,bear,0.9333332877953091,True,NEUTRAL,51.1,UP,DOWN
568,2025-04-05 16:00:00+00:00,82818.7,bear,0.9333330615290033,True,NEUTRAL,50.0,DOWN,DOWN
576,2025-04-07 00:00:00+00:00,77669.6,bear,0.933333251292647,True,NEUTRAL,50.0,UP,DOWN
584,2025-04-08 08:00:00+00:00,79949.7,bear,0.9333332383499096,True,NEUTRAL,74.6,DOWN,DOWN
592,2025-04-09 16:00:00+00:00,82291.4,bull,0.25,False,NEUTRAL,77.5,DOWN,DOWN
600,2025-04-11 00:00:00+00:00,80796.9,bull,0.9333332444248067,False,NEUTRAL,72.3,UP,DOWN
608,2025-04-12 08:00:00+00:00,83484.0,bull,0.9333331799184031,True,NEUTRAL,62.5,UP,UP
616,2025-04-13 16:00:00+00:00,83949.9,bull,0.9333331445472518,True,NEUTRAL,66.6,UP,UP
624,2025-04-15 00:00:00+00:00,85351.9,bull,0.9333330912918019,True,NEUTRAL,53.6,DOWN,UP
632,2025-04-16 08:00:00+00:00,84008.5,bull,0.9333330627005433,False,NEUTRAL,50.0,DOWN,DOWN
640,2025-04-17 16:00:00+00:00,84797.5,neutral,0.9333330353484662,False,NEUTRAL,50.0,DOWN,DOWN
648,2025-04-19 00:00:00+00:00,84845.3,neutral,0.9333330794713932,False,NEUTRAL,50.0,UP,DOWN
656,2025-04-20 08:00:00+00:00,84084.6,neutral,0.9333331337938617,False,NEUTRAL,50.0,UP,DOWN
664,2025-04-21 16:00:00+00:00,87369.1,bull,0.9333331488574156,True,NEUTRAL,58.5,UP,UP
672,2025-04-23 00:00:00+00:00,93126.0,bull,0.9333331388431781,True,NEUTRAL,77.0,UP,UP
680,2025-04-24 08:00:00+00:00,92575.1,bull,0.9333331367580137,True,NEUTRAL,54.1,UP,UP
688,2025-04-25 16:00:00+00:00,95229.2,bull,0.9333330983905186,True,NEUTRAL,60.0,DOWN,UP
696,2025-04-27 00:00:00+00:00,94121.7,bull,0.9333331172663144,True,NEUTRAL,50.0,UP,UP
704,2025-04-28 08:00:00+00:00,95276.1,bull,0.9333331500080876,True,NEUTRAL,53.1,DOWN,UP
712,2025-04-29 16:00:00+00:00,95250.5,bull,0.9333331190679653,True,NEUTRAL,50.0,DOWN,UP
720,2025-05-01 00:00:00+00:00,94737.5,bull,0.933333149449489,True,NEUTRAL,50.0,UP,UP
728,2025-05-02 08:00:00+00:00,96875.7,bull,0.9333331517771194,True,NEUTRAL,50.0,DOWN,UP
736,2025-05-03 16:00:00+00:00,96312.0,neutral,0.9333331793949626,False,NEUTRAL,50.0,DOWN,DOWN
744,2025-05-05 00:00:00+00:00,94001.1,neutral,0.9333331212793915,False,NEUTRAL,52.9,UP,DOWN
